,ｎ数(人),転落・転倒(人),溺水(人),切った(人),誤飲(人),ぶつけた(人),はさんだ(人),やけど(人),皮膚障害(人),その他(人)
全体,1299,562,505,63,49,36,28,26,9,21
浴槽,532,106,423,0,0,0,0,1,0,2
洗い場,144,141,3,0,0,0,0,0,0,0
お風呂いす,106,103,2,0,0,0,0,0,0,1
お風呂マット,80,77,0,0,0,3,0,0,0,0
浴槽ふた,78,25,34,1,0,10,2,0,0,6
石鹸,63,47,1,0,14,0,0,0,1,0
カミソリ,63,0,0,62,1,0,0,0,0,0
水栓,44,13,6,0,1,11,0,10,0,3
扉,37,8,0,0,0,4,24,0,0,1
シャンプー,36,13,0,0,19,0,1,0,3,0
シャワー,33,9,1,0,0,5,0,15,0,3
浮き輪,22,0,22,0,0,0,0,0,0,0
入浴剤,15,2,2,0,10,0,0,0,1,0
湯おけ,12,8,3,0,0,1,0,0,0,0
お風呂掃除用品,12,2,0,0,4,0,0,0,4,2
ベビーバス,7,1,6,0,0,0,0,0,0,0
窓,4,2,0,0,0,1,1,0,0,0
その他,11,5,2,0,0,1,0,0,0,3
