項目,内容,内容
説明書の内容に関する要望,説明書の注意事項の欄は文字を大きくしたり、図を入れて、一目で分かりやすくしてほしい。,20代女性
説明書の内容に関する要望,説明書に必要最低限の事しか書かれていないので、注意事項や操作などで書かれていない事が多いと思う。,40代男性
紙の取扱説明書の要望,紙の説明書が欲しい。,60代男性
紙の取扱説明書の要望,近年、取扱説明書が簡略化され過ぎて企業の怠慢さを感じている。なんでも各人でネットで確認って感じが良くない。説明書はきちんと添付すべきである。,40代女性
安全の注意喚起に関する要望,安全基準は特に気にしたことがないので、最初に販売店から説明がほしい。,50代男性
安全の注意喚起に関する要望,機械が熱くなった際の対応など教えていただきたいです。,50代男性
購入時の説明に関する要望,購入時の説明は何もなかった。不親切だと思う。,60代女性
購入時の説明に関する要望,購入時にはあまり説明せず、「あとはWebの取説を見てください」と言われるが、頻繁に起こるトラブル等についてはもう少し説明してほしい。,50代女性
製品に対する要望,電池のもちを良くして欲しい。余計な機能のないシンプルで丈夫なもの。機能や、パーツの色の組み合わせなど、自分好みにカスタマイズできると楽しいかも。,40代女性
製品に対する要望,ボタンの押しやすさ、耐久性を重視してほしい。,20代男性
その他,スマートフォンが長持ちする効率のよい使い方を教えてもらえると助かる。,20代女性
その他,購入時に取扱説明書を読んでもらい、誤った使い方でケガをした場合の免責についてサインをもらうことなどで取扱者の意識を向上させてほしい。,20代女性
