,n,テレビ番組（％）,新聞（％）,ＣＭ（％）,ポスター（％）,ラジオ番組（％）,ＳＮＳ（フェイスブック、ツイッターなど）（％）,ホームページ、ブログ（％）,雑誌（％）,家族・友人・知人（％）,大会、イベント（％）,その他（％）,情報を得ていない（％）,わからない（％）
全体,1820,88.6,28.7,16.0,8.1,6.3,5.8,5.4,4.7,3.8,2.5,1.0,4.7,3.0
エリア別区部（計）,1184,89.7,28.9,16.3,7.9,5.8,6.3,6.7,5.2,3.9,2.7,0.9,3.6,3.0
エリア別区部センター・コア,297,88.2,25.3,15.8,9.8,4.7,5.7,10.1,5.4,2.4,2.4,1.3,2.7,3.7
エリア別区部区部東部・北部,381,89.8,27.3,17.1,6.0,6.6,4.5,5.0,6.0,3.4,2.6,0.8,3.7,3.4
エリア別区部区部西部・南部,506,90.5,32.2,16.0,8.1,5.9,8.1,5.9,4.3,5.1,3.0,0.8,4.2,2.2
エリア別市町村部（計）,636,86.5,28.3,15.4,8.5,7.2,4.7,3.1,3.8,3.8,2.2,1.3,6.8,3.1
エリア別市町村部多摩東部,236,84.3,28.8,16.1,9.7,7.2,6.4,4.2,5.1,3.4,3.4,1.7,9.3,2.1
エリア別市町村部多摩中央部北,99,83.8,17.2,11.1,6.1,3.0,7.1,4.0,1.0,1.0,1.0,2.0,5.1,5.1
エリア別市町村部多摩中央部南,263,89.4,29.7,14.1,8.4,8.4,3.0,2.3,3.0,4.9,1.9,0.4,4.9,3.4
エリア別市町村部多摩西部・島しょ,38,86.8,44.7,31.6,7.9,10.5,,,7.9,5.3,,2.6,7.9,2.6
性・年齢別男性（計）,868,87.4,29.8,14.4,8.1,6.5,5.5,8.1,4.7,3.2,3.8,0.6,5.5,3.1
性・年齢別男性18・19歳,17,82.4,5.9,17.6,5.9,,5.9,,5.9,,,,5.9,11.8
性・年齢別男性20代,87,77.0,12.6,13.8,6.9,1.1,10.3,8.0,2.3,2.3,1.1,2.3,12.6,5.7
性・年齢別男性30代,113,85.0,15.9,15.0,8.0,3.5,5.3,9.7,1.8,4.4,4.4,,8.8,1.8
性・年齢別男性40代,168,83.9,23.2,20.8,8.3,9.5,7.1,13.1,4.8,3.0,4.8,0.6,7.7,3.0
性・年齢別男性50代,175,90.9,27.4,14.9,10.3,4.6,6.9,9.1,2.9,2.9,2.9,1.1,3.4,1.7
性・年齢別男性60代,156,92.9,44.9,10.9,6.4,9.6,4.5,6.4,7.7,1.9,4.5,,2.6,1.3
性・年齢別男性70歳以上,152,90.1,47.4,9.9,7.9,7.9,0.7,2.6,7.2,5.3,4.6,,2.0,5.3
性・年齢別女性（計）,952,89.6,27.6,17.4,8.1,6.2,6.0,3.0,4.6,4.4,1.4,1.5,4.0,2.9
性・年齢別女性18・19歳,13,92.3,15.4,23.1,7.7,7.7,7.7,7.7,7.7,7.7,,,,7.7
性・年齢別女性20代,94,88.3,8.5,13.8,7.4,3.2,14.9,1.1,1.1,8.5,1.1,,5.3,2.1
性・年齢別女性30代,113,85.8,9.7,16.8,6.2,5.3,8.0,6.2,0.9,4.4,1.8,3.5,8.0,
性・年齢別女性40代,199,88.9,16.6,19.1,9.5,2.5,7.5,2.5,4.5,3.0,0.5,3.0,3.5,3.5
性・年齢別女性50代,181,93.4,31.5,24.9,10.5,6.6,7.2,6.6,7.2,5.5,2.2,1.1,1.7,1.1
性・年齢別女性60代,156,91.7,42.9,14.1,9.6,7.7,1.9,1.9,7.1,5.1,1.9,0.6,4.5,1.3
性・年齢別女性70歳以上,196,87.8,43.4,13.3,4.6,10.2,1.0,,4.1,2.0,1.0,0.5,3.6,7.1
,テレビ番組（％）,,,,,,,,,,,,,
,新聞（％）,,,,,,,,,,,,,
,ＣＭ（％）,,,,,,,,,,,,,
,ポスター（％）,,,,,,,,,,,,,
,ラジオ番組（％）,,,,,,,,,,,,,
,ＳＮＳ（フェイスブック、ツイッターなど）（％）,,,,,,,,,,,,,
,ホームページ、ブログ（％）,,,,,,,,,,,,,
,雑誌（％）,,,,,,,,,,,,,
,家族・友人・知人（％）,,,,,,,,,,,,,
,大会、イベント（％）,,,,,,,,,,,,,
,その他（％）,,,,,,,,,,,,,
,情報を得ていない（％）,,,,,,,,,,,,,
,わからない（％）,,,,,,,,,,,,,
