施術内容,平成23年度（件）,平成24年度（件）,平成25年度（件）,平成26年度（件）,平成27年度上半期（件）,備考
アートメイク,2,1,1,1,1,
アートメイクうちコース契約の相談,0,1,0,1,0,
二重まぶた手術,27,30,30,47,28,
二重まぶた手術うちコース契約の相談,5,6,12,14,7,
鼻の手術（小鼻縮小・隆鼻術など）,4,7,16,10,12,
鼻の手術（小鼻縮小・隆鼻術など）うちコース契約の相談,1,1,4,3,5,
あご・頬骨の手術,11,11,27,29,13,
あご・頬骨の手術うちコース契約の相談,4,10,11,14,7,
リフトアップ（たるみ取り・しわ取り）※,48,88,163,224,71,
リフトアップ（たるみ取り・しわ取り）※うちコース契約の相談,16,46,69,89,29,
フィラーによる顔面等の形成術,55,49,102,124,38,
フィラーによる顔面等の形成術うちコース契約の相談,12,26,48,57,19,
肌質改善,18,32,21,32,11,
肌質改善うちコース契約の相談,13,29,18,26,7,
しみ取り,30,48,60,80,30,
しみ取りうちコース契約の相談,24,36,43,48,21,
にきび治療,13,11,20,14,6,
にきび治療うちコース契約の相談,7,10,16,9,6,
ほくろ取り,9,7,6,9,4,
ほくろ取りうちコース契約の相談,2,6,2,1,2,
あざ・傷痕などの除去,17,15,25,20,6,
あざ・傷痕などの除去うちコース契約の相談,5,10,15,8,2,
脂肪注入による形成術,4,3,5,3,1,
脂肪注入による形成術うちコース契約の相談,0,1,1,1,1,
ピーリング,8,11,12,12,5,
ピーリングうちコース契約の相談,3,10,9,10,4,
豊胸手術,8,6,7,10,11,
豊胸手術うちコース契約の相談,1,2,0,2,3,
脂肪溶解（脂肪溶解注射など）,8,11,11,17,16,
脂肪溶解（脂肪溶解注射など）うちコース契約の相談,6,10,5,8,13,
脂肪吸引,16,22,15,35,18,
脂肪吸引うちコース契約の相談,3,13,4,15,5,
脱毛（レーザー脱毛など）,64,110,182,81,46,
脱毛（レーザー脱毛など）うちコース契約の相談,47,97,148,61,34,
痩身,8,17,5,17,6,
痩身うちコース契約の相談,7,14,1,15,4,
刺青（タトゥー）の除去,1,2,0,1,0,
刺青（タトゥー）の除去うちコース契約の相談,0,1,0,0,0,
ピアスの穴開け,0,4,5,3,1,
ピアスの穴開けうちコース契約の相談,0,3,2,1,0,
わきが・多汗症治療,6,7,5,9,6,
わきが・多汗症治療うちコース契約の相談,2,1,1,3,4,
包茎手術・男性器デザイン,50,39,25,47,31,
包茎手術・男性器デザインうちコース契約の相談,13,12,10,11,7,
毛髪治療,0,11,12,18,8,
毛髪治療うちコース契約の相談,0,8,9,10,7,
人工植毛,2,2,0,2,0,
人工植毛うちコース契約の相談,2,0,0,1,0,
歯科治療※,21,28,29,25,20,
歯科治療※うちコース契約の相談,6,7,15,8,7,
,,,,,,注）「フィラー」とは、ヒアルロン酸、ボトックス、アクアミドなどの注入物を指す。
,,,,,,注）「歯科治療」には、ホワイトニング、歯列矯正、インプラントなどが含まれる。
