,ｎ数(人),調理用具(人),調理家電(人),コンロ(人),キッチンマット(人),シンク回り(人),洗剤(人),踏み台(人),食洗機(人),魚焼きグリル(人),シンク下収納(人),食器棚(人),水栓(人),タオル(人),石鹸(人),洗濯機(人),ふきん(人),その他(人)
全体,715,318,103,60,40,30,25,21,18,15,10,9,8,5,4,3,2,44
男の子,406,172,60,40,21,18,14,13,11,10,4,4,4,4,1,2,2,26
男の子０歳,25,8,6,2,1,2,0,0,0,0,1,0,0,1,0,0,0,4
男の子１歳,125,57,21,8,3,5,1,2,4,5,2,1,1,0,0,1,1,13
男の子２歳,123,50,19,16,8,3,8,2,2,5,1,2,1,2,0,0,0,4
男の子３歳,69,33,6,4,6,3,3,5,2,0,0,1,1,1,0,1,0,3
男の子４歳,34,16,3,7,0,0,1,3,1,0,0,0,1,0,1,0,0,1
男の子５歳,19,6,1,2,2,3,1,0,2,0,0,0,0,0,0,0,1,1
男の子６歳,11,2,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
女の子,309,146,43,20,19,12,11,8,7,5,6,5,4,1,3,1,0,18
女の子０歳,25,12,2,0,1,0,2,0,1,0,1,0,0,1,0,0,0,5
女の子１歳,78,34,13,7,0,4,3,0,3,3,4,3,0,0,1,0,0,3
女の子２歳,98,44,14,6,9,4,4,6,2,2,0,1,1,0,0,0,0,5
女の子３歳,57,25,9,3,7,3,2,1,1,0,1,1,1,0,0,0,0,3
女の子４歳,26,14,3,3,2,1,0,1,0,0,0,0,1,0,0,0,0,1
女の子５歳,11,6,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
女の子６歳,14,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
