,ｎ,比較的軽いスポーツのみ（％）,比較的軽いスポーツと比較的広域にわたるスポーツ（％）,比較的軽いスポーツと競技的スポーツ（％）,比較的軽いスポーツと比較的広域にわたるスポーツと競技的スポーツ（％）,比較的広域にわたるスポーツのみ（％）,比較的広域にわたるスポーツと競技的スポーツ（％）,競技的スポーツのみ（％）,特にない（％）
全体,1820,35.7,22.0,5.5,16.9,4.6,0.9,2.0,12.5
エリア別区部（計）,1184,35.5,22.3,5.7,17.1,4.4,0.8,2.1,12.2
エリア別区部センター・コア,297,35.4,24.6,6.7,12.5,5.4,0.7,2.4,12.5
エリア別区部区部東部・北部,381,37.0,23.9,5.2,15.5,5.5,1.3,1.8,9.7
エリア別区部区部西部・南部,506,34.4,19.8,5.3,20.9,3.0,0.6,2.2,13.8
エリア別市町村部（計）,636,36.2,21.4,5.2,16.5,5.0,0.9,1.7,13.1
エリア別市町村部多摩東部,236,34.3,23.7,4.7,16.5,4.7,1.7,0.8,13.6
エリア別市町村部多摩中央部北,99,30.3,18.2,6.1,15.2,10.1,1.0,3.0,16.2
エリア別市町村部多摩中央部南,263,39.2,20.9,5.3,17.1,3.8,0.4,2.3,11.0
エリア別市町村部多摩西部・島しょ,38,42.1,18.4,5.3,15.8,2.6,,,15.8
性・年齢別男性（計）,868,27.1,23.5,5.9,19.4,6.5,1.2,2.5,14.1
性・年齢別男性18・19歳,17,11.8,5.9,5.9,52.9,11.8,5.9,5.9,
性・年齢別男性20代,87,18.4,14.9,9.2,24.1,6.9,,4.6,21.8
性・年齢別男性30代,113,20.4,16.8,12.4,23.0,6.2,0.9,8.0,12.4
性・年齢別男性40代,168,18.5,29.8,4.2,22.6,11.3,1.2,1.8,10.7
性・年齢別男性50代,175,26.9,24.6,4.6,22.9,5.7,1.7,0.6,13.1
性・年齢別男性60代,156,34.0,26.3,5.8,13.5,5.8,0.6,0.6,13.5
性・年齢別男性70歳以上,152,41.4,24.3,2.6,8.6,2.0,1.3,2.0,17.8
性・年齢別女性（計）,952,43.6,20.6,5.1,14.6,2.9,0.6,1.5,11.0
性・年齢別女性18・19歳,13,46.2,7.7,7.7,15.4,7.7,,15.4,
性・年齢別女性20代,94,25.5,20.2,3.2,33.0,5.3,1.1,3.2,8.5
性・年齢別女性30代,113,30.1,26.5,8.0,18.6,4.4,1.8,0.9,9.7
性・年齢別女性40代,199,38.7,27.6,4.0,17.1,4.0,1.0,2.0,5.5
性・年齢別女性50代,181,39.2,24.9,8.8,17.1,1.1,0.6,,8.3
性・年齢別女性60代,156,57.1,18.6,3.8,7.1,2.6,,,10.9
性・年齢別女性70歳以上,196,58.2,8.7,3.1,4.6,1.5,,2.0,21.9
