回答,効果がある（計）（％）,特に効果はない（％）,わからない（％）,備考
全体（n=1820）,96.3,1.0,2.6,
性・年齢別男性（計）（n=868）,96.0,1.5,2.5,
性・年齢別男性18・19歳（n=17）,100.0,0,0,
性・年齢別男性20代（n=87）,93.1,3.4,3.4,
性・年齢別男性30代（n=113）,95.6,1.8,2.7,
性・年齢別男性40代（n=168）,97.6,0.6,1.8,
性・年齢別男性50代（n=175）,96.6,1.1,2.3,
性・年齢別男性60代（n=156）,95.5,1.9,2.6,
性・年齢別男性70歳以上（n=152）,95.4,1.3,3.3,
性・年齢別女性（計）（n=952）,96.6,0.6,2.7,
性・年齢別女性18・19歳（n=13）,92.3,0.7,7.7,
性・年齢別女性20代（n=94）,95.7,1.1,3.2,
性・年齢別女性30代（n=113）,98.2,0.9,0.9,
性・年齢別女性40代（n=199）,98.5,0,1.5,
性・年齢別女性50代（n=181）,97.8,0,2.2,
性・年齢別女性60代（n=156）,95.5,0.6,3.8,
性・年齢別女性70歳以上（n=196）,94.4,1.5,4.1,
,,,,（注）『効果がある（計）』は「特に効果はない」「わからない」以外の選択肢を選んだ人の割合
