回答,活動内容について知っている（％）,聞いたことがある（％）,知らない（％）,知っている（計）（％）,備考
全体（n=1820）,17.7,30.9,51.4,48.6,
ライフステージ別学校教育期（n=64）,14.1,29.7,56.3,43.8,
独身期（n=174）,6.3,29.3,64.4,35.6,
家族形成期（n=161）,11.8,23.6,64.6,35.4,
家族成長前期（n=167）,24.6,37.7,37.7,62.3,
家族成長後期（n=147）,17.7,32.7,49.7,50.3,
家族成熟期（n=290）,23.1,31.7,45.2,54.8,
高齢期（n=430）,23.3,32.8,44.0,56.0,
スポーツ・運動の実施頻度別週3日以上（n=429）,23.1,35.9,41.0,59.0,
週に2日（n=296）,20.3,34.5,45.3,54.7,
週に1日（n=300）,20.7,29.0,50.3,49.7,
月に1～3日（n=279）,14.0,32.6,53.4,46.6,
3ヶ月に1～2日（n=130）,11.5,31.5,56.9,43.1,
年に1～3日（n=66）,12.1,24.2,63.6,36.4,
週に1日以上実施（n=1025）,21.6,33.5,45.0,55.0,
週に1日未満実施（n=475）,13.1,31.2,55.8,44.2,
スポーツや運動は実施しなかった（n=273）,11.4,21.6,67.0,33.0,
,,,,,（注）『知っている（計）』は「活動内容について知っている」「聞たことがある」の合計
