,n,比較的軽いスポーツのみ（％）,比較的軽いスポーツと比較的広域にわたるスポーツ（％）,比較的軽いスポーツと競技的スポーツ（％）,比較的軽いスポーツと比較的広域にわたるスポーツと競技的スポーツ（％）,比較的広域にわたるスポーツのみ（％）,比較的広域にわたるスポーツと競技的スポーツ（％）,競技的スポーツのみ（％）,スポーツや運動は実施しなかった（％）
全体,1820,44.2,24.4,3.1,9.6,2.7,0.3,0.8,15.0
エリア別区部（計）,1184,44.0,24.3,3.0,10.0,2.7,0.4,1.0,14.6
エリア別区部センター・コア,297,42.8,23.9,3.4,8.4,3.0,0.3,1.3,16.8
エリア別区部区部東部・北部,381,48.6,21.5,2.6,8.9,3.1,0.5,0.3,14.4
エリア別区部区部西部・南部,506,41.3,26.7,3.0,11.7,2.2,0.4,1.4,13.4
エリア別市町村部（計）,636,44.5,24.5,3.3,8.8,2.7,0.2,0.3,15.7
エリア別市町村部多摩東部,236,44.9,21.6,2.5,10.2,2.5,,0.4,17.8
エリア別市町村部多摩中央部北,99,25.3,34.3,8.1,8.1,4.0,,,20.2
エリア別市町村部多摩中央部南,263,50.2,23.2,2.3,8.4,2.3,0.4,0.4,12.9
エリア別市町村部多摩西部・島しょ,38,52.6,26.3,2.6,5.3,2.6,,,10.5
性・年齢別男性（計）,868,35.5,27.2,3.9,13.9,3.3,0.5,1.0,14.6
性・年齢別男性18・19歳,17,11.8,,23.5,47.1,11.8,,,5.9
性・年齢別男性20代,87,32.2,17.2,9.2,23.0,3.4,,,14.9
性・年齢別男性30代,113,33.6,27.4,6.2,15.0,1.8,,3.5,12.4
性・年齢別男性40代,168,26.8,33.9,4.2,17.9,4.2,0.6,1.8,10.7
性・年齢別男性50代,175,29.7,28.0,1.7,14.9,5.7,,,20.0
性・年齢別男性60代,156,42.3,30.8,2.6,6.4,1.3,0.6,1.3,14.7
性・年齢別男性70歳以上,152,50.7,23.7,0.7,6.6,2.0,1.3,,15.1
性・年齢別女性（計）,952,52.1,21.8,2.3,5.6,2.1,0.2,0.5,15.3
性・年齢別女性18・19歳,13,23.1,23.1,15.4,30.8,,,,7.7
性・年齢別女性20代,94,39.4,29.8,3.2,12.8,1.1,,,13.8
性・年齢別女性30代,113,46.9,25.7,0.9,7.1,1.8,,0.9,16.8
性・年齢別女性40代,199,47.7,30.7,3.0,4.5,4.0,,,10.1
性・年齢別女性50代,181,51.9,26.5,2.8,5.0,1.1,0.6,0.6,11.6
性・年齢別女性60代,156,58.3,14.1,0.6,4.5,3.2,0.6,0.6,17.9
性・年齢別女性70歳以上,196,62.8,8.7,2.0,2.0,1.0,,1.0,22.4
