回答,1人（％）,2人（％）,3人（％）,4人（％）,5人以上（％）,1人も知らない（％）,知っている（計）（％）,備考
全体（n=1820）,13.4,12.9,14.1,4.1,13.0,42.6,57.4,
エリア別区部（計）（n=1184）,12.9,12.8,14.2,4.5,12.1,43.5,56.5,
エリア別区部センター・コア（n=297）,13.1,10.8,15.5,3.0,11.1,46.5,53.5,
エリア別区部区部東部・北部（n=381）,13.4,13.4,15.2,5.0,9.4,43.6,56.4,
エリア別区部区部西部・南部（n=506）,12.5,13.6,12.6,4.9,14.6,41.7,58.3,
エリア別市町村部（計）（n=636）,14.2,13.1,13.8,3.5,14.6,40.9,59.1,
エリア別市町村部多摩東部（n=236）,13.6,11.4,13.1,3.8,16.1,41.9,58.1,
エリア別市町村部多摩中央部北（n=99）,17.2,11.1,13.1,2.0,10.1,46.5,53.5,
エリア別市町村部多摩中央部南（n=263）,14.1,15.6,15.6,3.8,15.2,35.7,64.3,
エリア別市町村部多摩西部・島しょ（n=38）,10.5,10.5,7.9,2.6,13.2,55.3,44.7,
性・年齢別男性（計）（n=868）,14.9,12.2,13.0,4.3,14.2,41.5,58.5,
性・年齢別男性18・19歳（n=17）,35.3,11.8,0,0,0,52.9,47.1,
性・年齢別男性20代（n=87）,21.8,12.6,12.6,2.3,2.3,48.3,51.7,
性・年齢別男性30代（n=113）,23.9,9.7,8.8,5.3,8.8,43.4,56.6,
性・年齢別男性40代（n=168）,14.3,14.3,11.9,2.4,16.7,40.5,59.5,
性・年齢別男性50代（n=175）,13.1,13.7,20.6,6.3,13.1,33.1,66.9,
性・年齢別男性60代（n=156）,10.9,11.5,15.4,5.1,18.6,38.5,61.5,
性・年齢別男性70歳以上（n=152）,8.6,10.5,7.9,3.9,20.4,48.7,51.3,
性・年齢別女性（計）（n=952）,12.0,13.6,15.0,4.0,11.9,43.6,56.4,
性・年齢別女性18・19歳（n=13）,15.4,15.4,7.7,0,15.4,46.2,53.8,
性・年齢別女性20代（n=94）,16.0,14.9,8.5,3.2,1.1,56.4,43.6,
性・年齢別女性30代（n=113）,10.6,9.7,22.1,2.7,8.8,46.0,54.0,
性・年齢別女性40代（n=199）,15.1,13.6,14.1,3.5,11.1,42.7,57.3,
性・年齢別女性50代（n=181）,12.2,14.4,21.0,5.5,16.0,30.9,69.1,
性・年齢別女性60代（n=156）,12.8,14.7,13.5,5.1,12.8,41.0,59.0,
性・年齢別女性70歳以上（n=196）,6.6,13.3,11.2,3.6,14.8,50.5,49.5,
,,,,,,,,（注）『知っている（計）』は「1人」～「5人以上」の合計
540,2544,65641885,677310383,-,750845914,1493798182,290894571,1784692753
（注）表頭[　]は、公営企業会計についてのものである。,,,,,,,,,,
,,,,,7.2,40.1,2.7,100.0,26.0,71.1,2.9
性別男性実数,882,858,22,2,858,759,70,29,858,566,265,27,858,591,239,28,858,516,316,26,858,234,595,29
性別男性（％）,100.0,97.3,2.5,0.2,100.0,88.5,8.2,3.4,100.0,66.0,30.9,3.1,100.0,68.9,27.9,3.3,100.0,60.1,36.8,3.0,100.0,27.3,69.3,3.4
性別女性実数,945,908,33,4,908,799,87,22,908,582,305,21,908,598,289,21,908,495,392,21,908,226,660,22
性別女性（％）,100.0,96.1,3.5,0.4,100.0,88.0,9.6,2.4,100.0,64.1,33.6,2.3,100.0,65.9,31.8,2.3,100.0,54.5,43.2,2.3,100.0,24.9,72.7,2.4
年齢別20歳代実数,174,162,12,-,162,137,20,5,162,92,65,5,162,98,59,5,162,76,81,5,162,54,103,5
年齢別20歳代（％）,100.0,93.1,6.9,-,100.0,84.6,12.3,3.1,100.0,56.8,40.1,3.1,100.0,60.5,36.4,3.1,100.0,46.9,50.0,3.1,100.0,33.3,63.6,3.1
年齢別30歳代実数,261,251,10,-,251,210,34,7,251,158,87,6,251,156,88,7,251,141,104,6,251,67,178,6
年齢別30歳代（％）,100.0,96.2,3.8,-,100.0,83.7,13.5,2.8,100.0,62.9,34.7,2.4,100.0,62.2,35.1,2.8,100.0,56.2,41.4,2.4,100.0,26.7,70.9,2.4
年齢別40歳代実数,365,361,3,1,361,317,33,11,361,236,115,10,361,246,105,10,361,205,146,10,361,99,251,11
年齢別40歳代（％）,100.0,98.9,0.8,0.3,100.0,87.8,9.1,3.0,100.0,65.4,31.9,2.8,100.0,68.1,29.1,2.8,100.0,56.8,40.4,2.8,100.0,27.4,69.5,3.0
年齢別50歳代実数,294,287,5,2,287,257,23,7,287,183,97,7,287,194,85,8,287,162,119,6,287,73,208,6
年齢別50歳代（％）,100.0,97.6,1.7,0.7,100.0,89.5,8.0,2.4,100.0,63.8,33.8,2.4,100.0,67.6,29.6,2.8,100.0,56.4,41.5,2.1,100.0,25.4,72.5,2.1
年齢別60歳代実数,313,305,7,1,305,284,13,8,305,210,87,8,305,211,86,8,305,179,118,8,305,79,215,11
年齢別60歳代（％）,100.0,97.4,2.2,0.3,100.0,93.1,4.3,2.6,100.0,68.9,28.5,2.6,100.0,69.2,28.2,2.6,100.0,58.7,38.7,2.6,100.0,25.9,70.5,3.6
年齢別70歳代実数,296,285,9,2,285,257,19,9,285,196,80,9,285,211,66,8,285,189,87,9,285,69,207,9
年齢別70歳代（％）,100.0,96.3,3.0,0.7,100.0,90.2,6.7,3.2,100.0,68.8,28.1,3.2,100.0,74.0,23.2,2.8,100.0,66.3,30.5,3.2,100.0,24.2,72.6,3.2
年齢別80歳以上実数,124,115,9,-,115,96,15,4,115,73,39,3,115,73,39,3,115,59,53,3,115,19,93,3
年齢別80歳以上（％）,100.0,92.7,7.3,-,100.0,83.5,13.0,3.5,100.0,63.5,33.9,2.6,100.0,63.5,33.9,2.6,100.0,51.3,46.1,2.6,100.0,16.5,80.9,2.6
性/年齢別男性20歳代実数,92,86,6,-,86,71,11,4,86,51,31,4,86,52,30,4,86,37,45,4,86,31,51,4
性/年齢別男性20歳代（％）,100.0,93.5,6.5,-,100.0,82.6,12.8,4.7,100.0,59.3,36.0,4.7,100.0,60.5,34.9,4.7,100.0,43.0,52.3,4.7,100.0,36.0,59.3,4.7
性/年齢別男性30歳代実数,118,113,5,-,113,96,14,3,113,73,37,3,113,73,37,3,113,65,45,3,113,29,81,3
性/年齢別男性30歳代（％）,100.0,95.8,4.2,-,100.0,85.0,12.4,2.7,100.0,64.6,32.7,2.7,100.0,64.6,32.7,2.7,100.0,57.5,39.8,2.7,100.0,25.7,71.7,2.7
性/年齢別男性40歳代実数,174,172,2,-,172,152,13,7,172,107,59,6,172,118,48,6,172,102,64,6,172,48,117,7
性/年齢別男性40歳代（％）,100.0,98.9,1.1,-,100.0,88.4,7.6,4.1,100.0,62.2,34.3,3.5,100.0,68.6,27.9,3.5,100.0,59.3,37.2,3.5,100.0,27.9,68.0,4.1
性/年齢別男性50歳代実数,161,157,3,1,157,143,10,4,157,102,51,4,157,109,43,5,157,89,65,3,157,43,111,3
性/年齢別男性50歳代（％）,100.0,97.5,1.9,0.6,100.0,91.1,6.4,2.5,100.0,65.0,32.5,2.5,100.0,69.4,27.4,3.2,100.0,56.7,41.4,1.9,100.0,27.4,70.7,1.9
性/年齢別男性60歳代実数,153,148,4,1,148,139,5,4,148,104,40,4,148,105,39,4,148,95,49,4,148,41,101,6
