回答,既に加入している（％）,加入したいと思う（％）,加入したいとは思わない（％）,わからない（％）,加入意向（計）（％）,備考
全体（n=1820）,4.9,21.4,43.8,29.8,26.3,
ライフステージ別学校教育期（n=64）,7.8,29.7,35.9,26.6,37.5,
ライフステージ別独身期（n=174）,2.9,14.4,45.4,37.4,17.2,
ライフステージ別家族形成期（n=161）,1.2,31.7,30.4,36.6,32.9,
ライフステージ別家族成長前期（n=167）,4.2,30.5,32.3,32.9,34.7,
ライフステージ別家族成長後期（n=147）,3.4,20.4,37.4,38.8,23.8,
ライフステージ別家族成熟期（n=290）,6.2,23.1,43.1,27.6,29.3,
ライフステージ別高齢期（n=430）,7.9,17.4,51.4,23.3,25.3,
スポーツ・運動の実施頻度別週3日以上（n=429）,8.2,21.0,42.4,28.4,29.1,
スポーツ・運動の実施頻度別週に2日（n=296）,7.8,26.4,37.5,28.4,34.1,
スポーツ・運動の実施頻度別週に1日（n=300）,5.3,26.0,41.3,27.3,31.3,
スポーツ・運動の実施頻度別月に1～3日（n=279）,3.2,28.7,38.0,30.1,31.9,
スポーツ・運動の実施頻度別3ヶ月に1～2日（n=130）,2.3,19.2,42.3,36.2,21.5,
スポーツ・運動の実施頻度別年に1～3日（n=66）,4.5,19.7,45.5,30.3,24.2,
スポーツ・運動の実施頻度別週に1日以上実施（n=1025）,7.2,24.0,40.7,28.1,31.2,
スポーツ・運動の実施頻度別週に1日未満実施（n=475）,3.2,24.8,40.2,31.8,28.0,
スポーツ・運動の実施頻度別スポーツや運動は実施しなかった（n=273）,0,7.0,63.7,29.3,7.0,
,,,,,,（注）『加入意向（計）』は「既に加入している」「加入したいと思う」の合計
