順位,商品・役務分類,28年度（件）,27年度（件）,対前年度比(%),主な項目
1,放送・コンテンツ等,21580,25165,85.8,インターネットを利用した架空・不当請求、テレビ放送サービス等
2,レンタル・リース・貸借,8289,9193,90.2,賃貸アパートの修理費や敷金等の返金等
3,役務その他,6031,5450,110.7,公的機関を装った個人情報削除サービス、興信所、不動産仲介サービス、広告代理サービス等
4,商品一般,4592,4398,104.4,身に覚えのない架空請求ハガキ、不審なメールや電話、不用品の買取り、仮想通貨等
5,インターネット通信サービス,4348,4477,97.1,光ファイバー、プロバイダー契約等
6,移動通信サービス,4193,4518,92.8,携帯電話・スマートフォン等の通信料や付帯サービス、モバイルデータ通信契約等
7,健康食品,3482,2390,145.7,お試しや1回だけ購入のつもりが定期購入契約、サプリメントなどが体に合わない等
8,工事・建築・加工,3396,3708,91.6,新築工事、屋根工事、塗装工事、増改築工事等
9,融資サービス,2698,3089,87.3,借金による多重債務、金利・利息等
10,教室・講座,2383,2381,100.1,スポーツ・健康教室、ビジネス教室、外国語・会話教室、タレント・モデル教室
