回答,知っている（％）,知らない（％）
全体（n=1820）,32.3,67.7
エリア別区部（計）（n=1184）,33.0,67.0
エリア別区部センター・コア（n=297）,30.0,70.0
エリア別区部区部東部・北部（n=381）,31.5,68.5
エリア別区部区部西部・南部（n=506）,36.0,64.0
エリア別市町村部（計）（n=636）,30.8,69.2
エリア別市町村部多摩東部（n=236）,33.1,66.9
エリア別市町村部多摩中央部北（n=99）,30.3,69.7
エリア別市町村部多摩中央部南（n=263）,28.9,71.1
エリア別市町村部多摩西部・島しょ（n=38）,31.6,68.4
性・年齢別男性（計）（n=868）,33.2,66.8
性・年齢別男性18・19歳（n=17）,23.5,76.5
性・年齢別男性20代（n=87）,19.5,80.5
性・年齢別男性30代（n=113）,21.2,78.8
性・年齢別男性40代（n=168）,28.0,72.0
性・年齢別男性50代（n=175）,32.6,67.4
性・年齢別男性60代（n=156）,41.7,58.3
性・年齢別男性70歳以上（n=152）,48.7,51.3
性・年齢別女性（計）（n=952）,31.4,68.6
性・年齢別女性18・19歳（n=13）,15.4,84.6
性・年齢別女性20代（n=94）,19.1,80.9
性・年齢別女性30代（n=113）,23.9,76.1
性・年齢別女性40代（n=199）,28.1,71.9
性・年齢別女性50代（n=181）,32.0,68.0
性・年齢別女性60代（n=156）,39.1,60.9
女性70歳以上（n=196）,39.3,60.7
