回答,活動内容について知っている（％）,聞いたことがある（％）,知らない（％）,知っている（計）（％）,備考
全体（n=1820）,17.7,30.9,51.4,48.6,
エリア別区部（計）（n=1184）,16.8,30.9,52.3,47.7,
エリア別区部センター・コア（n=297）,15.8,34.3,49.8,50.2,
エリア別区部区部東部・北部（n=381）,16.3,30.7,53.0,47.0,
エリア別区部区部西部・南部（n=506）,17.8,29.1,53.2,46.8,
エリア別市町村部（計）（n=636）,19.3,30.8,49.8,50.2,
エリア別市町村部多摩東部（n=236）,14.4,35.6,50.0,50.0,
エリア別市町村部多摩中央部北（n=99）,23.2,25.3,51.5,48.5,
エリア別市町村部多摩中央部南（n=263）,22.1,27.4,50.6,49.4,
エリア別市町村部多摩西部・島しょ（n=38）,21.1,39.5,39.5,60.5,
性・年齢別男性（計）（n=868）,14.6,29.4,56.0,44.0,
性・年齢別男性18・19歳（n=17）,11.8,29.4,58.8,41.2,
性・年齢別男性20代（n=87）,8.0,25.3,66.7,33.3,
性・年齢別男性30代（n=113）,11.5,23.0,65.5,34.5,
性・年齢別男性40代（n=168）,14.9,26.8,58.3,41.7,
性・年齢別男性50代（n=175）,14.3,33.1,52.6,47.4,
性・年齢別男性60代（n=156）,17.3,27.6,55.1,44.9,
性・年齢別男性70歳以上（n=152）,18.4,36.8,44.7,55.3,
性・年齢別女性（計）（n=952）,20.5,32.2,47.3,52.7,
性・年齢別女性18・19歳（n=13）,7.7,38.5,53.8,46.2,
性・年齢別女性20代（n=94）,7.4,30.9,61.7,38.3,
性・年齢別女性30代（n=113）,15.0,33.6,51.3,48.7,
性・年齢別女性40代（n=199）,19.6,31.2,49.2,50.8,
性・年齢別女性50代（n=181）,24.9,35.4,39.8,60.2,
性・年齢別女性60代（n=156）,20.5,33.3,46.2,53.8,
性・年齢別女性70歳以上（n=196）,27.6,29.1,43.4,56.6,
,,,,,（注）『知っている（計）』は「活動内容について知っている」「聞いたことがある」の合計
