回答,参加したいと思う（計）（％）,特に決まっていない（％）,参加したいと思わない（％）,備考
"全体（n=1,820）",33.4,27.9,38.7,
性・年齢別男性（計）（n=868）,36.1,26.4,37.6,
性・年齢別男性18・19歳（n=17）,41.2,52.9,5.9,
性・年齢別男性20代（n=87）,27.6,32.2,40.2,
性・年齢別男性30代（n=113）,39.8,23.0,37.2,
性・年齢別男性40代（n=168）,42.3,28.0,29.8,
性・年齢別男性50代（n=175）,38.3,24.6,37.1,
性・年齢別男性60代（n=156）,35.3,21.8,42.9,
性・年齢別男性70歳以上（n=152）,28.9,27.6,43.4,
性・年齢別女性（計）（n=952）,31.0,29.3,39.7,
性・年齢別女性18・19歳（n=13）,53.8,15.4,30.8,
性・年齢別女性20代（n=94）,27.7,34.0,38.3,
性・年齢別女性30代（n=113）,39.8,32.7,27.4,
性・年齢別女性40代（n=199）,33.2,32.7,34.2,
性・年齢別女性50代（n=181）,30.9,33.1,35.9,
性・年齢別女性60代（n=156）,28.8,24.4,46.8,
性・年齢別女性70歳以上（n=196）,25.5,23.0,51.5,
,,,,（注）『参加したいと思う（計）』は「特に決まっていない」「参加したいと思わない」以外の選択肢を選んだ人の割合
