活動分野,法人数(法人),割合(％)
保健、医療又は福祉の増進を図る活動,4778,50.6
社会教育の増進を図る活動,5286,55.9
まちづくりの推進を図る活動,3041,32.2
観光の振興を図る活動,199,2.1
農山漁村又は中山間地域の振興を図る活動,144,1.5
学術、文化、芸術又はスポーツの振興を図る活動,3734,39.5
環境の保全を図る活動,2377,25.2
災害救援活動,732,7.7
地域安全活動,968,10.2
人権の擁護又は平和の推進を図る活動,1648,17.4
国際協力活動,3002,31.8
男女共同参画社会の形成の促進を図る活動,893,9.5
子供の健全育成を図る活動,3955,41.9
情報化社会の発展を図る活動,1780,18.8
科学技術の振興を図る活動,755,8.0
経済活動の活性化を図る活動,1672,17.7
職業能力の開発又は雇用機会の拡充を支援する活動,2060,21.8
消費者の保護を図る活動,687,7.3
以上の活動を行う団体の運営又は活動に関する連絡、助言又は援助の活動,5848,61.9
以上に準ずる活動として都道府県又は指定都市の条例で定める活動,0,0.0
平成27年11月末現在の認証法人数,9448,100.0
