,n,比較的軽いスポーツのみ（％）,比較的軽いスポーツと比較的広域にわたるスポーツ（％）,比較的軽いスポーツと競技的スポーツ（％）,比較的軽いスポーツと比較的広域にわたるスポーツと競技的スポーツ（％）,比較的広域にわたるスポーツのみ（％）,比較的広域にわたるスポーツと競技的スポーツ（％）,競技的スポーツのみ（％）,スポーツや運動は実施しなかった（％）
全体,1820,44.2,24.4,3.1,9.6,2.7,0.3,0.8,15.0
職業別自営・家族従業（計）,238,38.2,29.8,2.1,9.2,2.5,0.8,0.8,16.4
職業別勤め（計）,926,39.5,28.1,3.1,11.3,3.6,0.1,1.0,13.3
職業別勤め経営・管理職,51,39.2,29.4,3.9,13.7,3.9,,,9.8
職業別勤め専門・技術職,43,37.2,14.0,9.3,18.6,2.3,,,18.6
職業別勤め事務職,453,41.7,30.5,2.4,11.7,3.5,0.2,0.7,9.3
職業別勤め労務・技能職,155,37.4,26.5,3.2,8.4,4.5,,1.3,18.7
職業別勤め販売・サービス職,196,38.8,25.5,3.1,9.7,3.1,,2.0,17.9
職業別無職の主婦・主夫,432,57.4,17.8,1.6,3.7,1.2,0.2,0.2,17.8
職業別学生,73,19.2,16.4,16.4,34.2,2.7,,,11.0
職業別その他の無職,141,57.4,15.6,2.1,4.3,2.1,0.7,1.4,16.3
ライフステージ別学校教育期,64,17.2,18.8,17.2,37.5,3.1,,,6.3
ライフステージ別独身期,174,39.1,24.1,3.4,12.6,2.3,,2.3,16.1
ライフステージ別家族形成期,161,42.9,29.2,1.2,13.0,3.7,,0.6,9.3
ライフステージ別家族成長前期,167,24.6,41.3,4.8,16.2,3.6,0.6,,9.0
ライフステージ別家族成長後期,147,42.9,24.5,3.4,12.9,5.4,,0.7,10.2
ライフステージ別家族成熟期,290,47.6,27.2,2.1,7.6,2.4,,0.7,12.4
ライフステージ別高齢期,430,55.3,16.5,1.6,5.1,1.6,0.7,0.9,18.1
