,n,時間的に余裕があれば（％）,家や職場の近くにあれば（％）,会費（入会金、月会費）が安ければ（％）,健康に関する専門指導を受けることができれば（％）,一緒に加入する仲間がいれば（％）,スポーツの専門的な指導を受けることができれば（％）,アフタースポーツのための施設（レストラン、シャワールームなど）が充実すれば（％）,家族みんなで入れることができれば（％）,スポーツ以外のプログラムも楽しめれば（％）,複数の種目が実施できれば（％）,託児施設が利用できれば（％）,その他（％）,特にない（％）,わからない（％）
全体,1187,47.0,31.4,27.5,16.8,14.9,13.6,9.2,6.5,5.3,4.3,3.0,5.1,27.4,2.9
性・年齢別男性（計）,571,45.0,28.4,22.6,15.2,14.0,14.0,10.0,6.3,4.9,4.2,1.2,5.1,31.3,1.8
性・年齢別男性18・19歳,10,70.0,30.0,20.0,,40.0,30.0,20.0,,,,,,10.0,
性・年齢別男性20代,58,48.3,25.9,32.8,12.1,25.9,13.8,8.6,5.2,,3.4,1.7,10.3,27.6,
性・年齢別男性30代,64,70.3,42.2,32.8,10.9,17.2,7.8,12.5,9.4,1.6,6.3,1.6,7.8,18.8,
性・年齢別男性40代,104,56.7,31.7,23.1,14.4,10.6,12.5,14.4,9.6,5.8,4.8,2.9,1.0,27.9,1.0
性・年齢別男性50代,117,54.7,28.2,18.8,14.5,14.5,16.2,12.8,5.1,9.4,3.4,0.9,5.1,25.6,2.6
性・年齢別男性60代,109,35.8,29.4,21.1,18.3,11.9,18.3,4.6,5.5,7.3,7.3,,2.8,40.4,
性・年齢別男性70歳以上,109,13.8,17.4,16.5,19.3,8.3,11.0,6.4,4.6,1.8,0.9,0.9,7.3,43.1,5.5
性・年齢別女性（計）,616,48.9,34.3,32.0,18.3,15.7,13.1,8.4,6.7,5.7,4.4,4.7,5.2,23.7,3.9
性・年齢別女性18・19歳,9,55.6,11.1,44.4,22.2,44.4,22.2,,11.1,11.1,11.1,11.1,,33.3,
性・年齢別女性20代,52,65.4,40.4,51.9,11.5,36.5,11.5,19.2,1.9,1.9,11.5,7.7,,15.4,3.8
性・年齢別女性30代,77,66.2,49.4,41.6,10.4,19.5,16.9,11.7,13.0,7.8,2.6,22.1,2.6,13.0,2.6
性・年齢別女性40代,127,59.8,37.8,41.7,12.6,15.7,11.8,8.7,13.4,6.3,2.4,4.7,4.7,13.4,3.9
性・年齢別女性50代,112,58.9,44.6,37.5,31.3,16.1,22.3,13.4,7.1,8.0,11.6,,7.1,17.0,1.8
性・年齢別女性60代,101,38.6,29.7,28.7,24.8,10.9,9.9,4.0,3.0,4.0,2.0,,4.0,28.7,3.0
性・年齢別女性70歳以上,138,21.7,16.7,7.2,15.2,7.2,7.2,2.2,0.7,4.3,,0.7,8.7,43.5,7.2
