No,製品・場所等,事例,性別・年齢,内容
1,調理用具,やけど,男１歳,お湯を沸かしたやかんに触れそうになった。
2,調理用具,切った,男１歳,シンク下の棚に包丁入れる所があり、そこから包丁を取り出した。他にも、シンクの上で調理して、包丁を使ったままの状態にしていたら、下から子供の手が伸びて包丁をつかんで手元に持っていた。目の前だったのですぐに取り上げた。
3,調理用具,切った,男１歳,キッチン作業中、子供がずっと足の周りを離れず、ほんの少し目を離した隙に背伸びをして手を伸ばし、ペティナイフをまな板から落としそうになった。
4,調理用具,切った,男１歳,いつの間にか踏み台に乗ることを覚え、奥に置いてあった包丁を手に取ろうとして床に落とした。けがはなかった。それ以降キッチンの柵はきちんと開閉を確認するようになった。
5,調理用具,切った,女１歳,いつもバナナをナイフで切っているのを見ていて覚えていて、自分でナイフを出そうとして刃を手でつかみそうになった
6,調理用具,切った,女１歳,水切りかごの中に入っていたハサミをいつの間にか触っていた。
7,調理用具,やけど,男２歳,ＩＨクッキングヒーターで、鍋を使って汁物の調理をしていたところ、その近くに踏み台を持ってきた子供が台に上って鍋を触ろうとして、やけどしそうになった。触る前に止めたので、事なきを得た。
8,調理用具,やけど,女２歳,うどんを茹で、そのお湯を捨てようとした際、子供が近づき鍋ふたがほっぺに当たり、やけどをした。
9,調理用具,切った,女２歳,切ったリンゴを包丁の横においていたら、子供がこっそり食べようとリンゴを取るために包丁の刃の部分を掴んでいた。
10,調理用具,切った,女２歳,流し下の扉を開けて包丁を取り出していた。驚いたが声を上げると子供が驚くと思い落ち着いて「ちょうだい」と言ったら、突然手をはなし床に包丁が刺さった。
11,調理用具,やけど,男３歳,シチューを作っているときに子供が暇そうにしていたので、ガス台の横にある椅子に座らせシチューを作っているのを見せていた。椅子の上に立ち上がって遊びはじめ、体制を崩してシチューの入っている鍋の取っ手にぶつかった。そのひょうしに椅子から子供が落ち、頭から作っている途中のシチューがかかってしまった。
12,調理用具,切った,女３歳,目を離した隙に、私の真似をしてピーラーで大根の皮を剥こうとして、自分の指の皮を剥いてしまったが病院には行かなかった
13,調理用具,切った,女３歳,包丁を使っているとき、子供が食材を触ろうとして突然手を伸ばしてきた。本当に突然だったので危うく手を切りそうになった。
14,調理用具,切った,男４歳,野菜を切りたいと懇願するので、少し包丁を持たせてみたら、手を切ってしまった。
15,調理用具,切った,男４歳,ラップを持ち出して電車遊びをしたら指を深く切ってしまいました。
16,調理用具,やけど,女４歳,料理のお手伝いをしてくれた時、炒め物が終わったばかりで熱くなっていたフライパンに触ってしまい、軽いやけどをしてしまった。
17,調理用具,切った,女４歳,皮むき器(ピーラー)で人参の皮むきをしていて指先を切ったが病院に行くほどではなかった。
18,調理用具,切った,女６歳,すりおろし器を使用中に手を滑らせ切った。
19,調理家電,やけど,男０歳,当時、ミルクを沸かすのに電気ケトルを使っていたが、子供がコードを引っ張りお湯の入ったケトルをひっくり返してしまった。手とお腹にお湯がかかったため、冷水につける応急処置をし、救急車で病院に行った。お湯が少しぬるくなっていたため、大事に至らず塗り薬を貰って帰った。
20,調理家電,やけど,男１歳,炊飯器で炊きたての御飯を食器によそっている時、何をしているのか覗こうとして熱いお釜をつかんでしまった。
21,調理家電,やけど,女１歳,電気ケトルの湯気に触れそうになった。
22,調理家電,やけど,男２歳,お茶を作るのに電気ポットからお湯を入れていたら、子供がぶつかって来たので、その拍子にお湯がこぼれて子供の手にかかってしまい、やけどをしてしまった。
23,調理家電,やけど,男２歳,パンを焼いているときにオーブンを触り火傷した。
24,調理家電,切った,男２歳,対面式のキッチンで食卓テーブルにのぼり、キッチンにあったフードプロセッサーに指を入れていた。
25,調理家電,やけど,男４歳,炊飯器の蒸気を子供がさわってしまい、やけどしてしまった。皮膚科にしばらく通院することになった。
26,コンロ,やけど,男０歳,コンロのスイッチをカチャカチャしたり、五徳に手が触れそうになった。
27,コンロ,やけど,女１歳,ガスコンロのスイッチに手が届くようになり、自分で押して火を着けそうになっていた。
28,コンロ,その他,女１歳,コンロのスイッチを押してしまい、ガスが出っ放しになっていた。
29,キッチンマット,転落・転倒,女２歳,キッチンマットの上を走っていたところ派手に転んでしまった。その時、床下収納のドアがある所に運悪く顔をぶつけてしまい、目尻のところを少し切ってしまった。
30,シンク回り,やけど,男１歳,野菜を茹でてざるで水切りをするためにガス台からシンクに移動しようとしたら、ちょうどその下に子供がいて熱湯が背中にかかった。
31,シンク回り,物が落ちてきた,女１歳,調理台の横にランチョンマットやテーブルクロスなどを敷いていたら、それを引っ張って上に載っているものが落ちてきた。鍋や熱いものを置いてなかったのが幸いだった。
32,シンク回り,やけど,女２歳,茹でたあとの熱湯に湯気に興味を示した子供が踏み台を持ってきてお湯に触り、水ぶくれした。
33,シンク回り,転落・転倒,男３歳,シンクによじ登ろうとして落ちた。
34,洗剤,誤飲,女１歳,洗剤を食べそうになった。
35,洗剤,誤飲,女２歳,シンクのたらいの中でふきんを漂白剤につけていたところ、椅子を持ってきて椅子の上に乗り漂白剤を薄めた液を飲んでいた。病院に電話して確認したら様子を見るように言われた。
36,洗剤,皮膚障害,女３歳,流しでふきんの漂白をしていたら、子供がその漂白用の塩素水で水遊びをしようと手をつけていた。すぐに手洗いを充分に行ったため、火傷や手荒れの症状が出る事は無かった。
