,持家(一戸建)（％）,持家(分譲マンションなど集合住宅)（％）,民間の借家(賃貸マンション・アパートなど集合住宅)（％）,都市機構(旧公団)・公社・公営の賃貸住宅・アパート（％）,社宅・公務員住宅などの給与住宅（％）,民間の借家(一戸建)（％）,住み込み・寮・寄宿舎など（％）,その他（％）
全体(n=463),35.4,30.7,21.6,6.3,3.5,2.4,0.2,0
性別男性(n=229),38.9,28.4,23.6,6.1,1.3,1.3,0.4,0
性別女性(n=234),32.1,32.9,19.7,6.4,5.6,3.4,0,0
年代別20代(n=57),22.8,14.0,42.1,5.3,10.5,3.5,1.8,0
年代別30代(n=83),19.3,25.3,39.8,4.8,4.8,6.0,0,0
年代別40代(n=94),31.9,30.9,23.4,6.4,6.4,1.1,0,0
年代別50代(n=70),42.9,28.6,18.6,8.6,1.4,0,0,0
年代別60歳以上(n=159),47.2,40.3,5.0,6.3,1.3,0,0,0
職業別自営業(n=35),42.9,31.4,17.1,5.7,0,2.9,0,0
職業別常勤(n=186),26.3,28.5,33.9,5.9,3.2,1.6,0.5,0
職業別パート・アルバイト(n=59),30.5,40.7,13.6,6.8,5.1,3.4,0,0
職業別主婦(n=96),43.8,29.2,8.3,8.3,7.3,3.1,0,0
職業別学生(n=18),33.3,5.6,50.0,0,0,11.1,0,0
職業別無職(n=69),49.3,36.2,8.7,5.8,0,0,0,0
居住地域別区部(n=325),29.2,35.4,24.9,5.2,3.1,1.8,0.3,0
居住地域別市町村部(n=138),50.0,19.6,13.8,8.7,4.3,3.6,0,0
