回答,既に加入している（％）,加入したいと思う（％）,加入したいとは思わない（％）,わからない（％）,加入意向（計）（％）,備考
"全体（n=1,820）",4.9,21.4,43.8,29.8,26.3,
"エリア別区部（計）（n=1,184）",4.6,22.8,44.6,28.0,27.4,
エリア別区部センター・コア（n=297）,5.7,19.9,42.4,32.0,25.6,
エリア別区部区部東部・北部（n=381）,3.7,24.9,46.5,24.9,28.6,
エリア別区部区部西部・南部（n=506）,4.5,22.9,44.5,28.1,27.5,
エリア別市町村部（計）（n=636）,5.7,18.7,42.5,33.2,24.4,
エリア別市町村部多摩東部（n=236）,2.5,16.5,43.6,37.3,19.1,
エリア別市町村部多摩中央部北（n=99）,10.1,15.2,43.4,31.3,25.3,
エリア別市町村部多摩中央部南（n=263）,6.5,22.1,40.3,31.2,28.5,
エリア別市町村部多摩西部・島しょ（n=38）,7.9,18.4,47.4,26.3,26.3,
性・年齢別男性（計）（n=868）,3.6,19.1,46.7,30.6,22.7,
性・年齢別男性18・19歳（n=17）,0,23.5,35.3,41.2,23.5,
性・年齢別男性20代（n=87）,3.4,14.9,51.7,29.9,18.4,
性・年齢別男性30代（n=113）,4.4,19.5,37.2,38.9,23.9,
性・年齢別男性40代（n=168）,3.6,17.9,44.0,34.5,21.4,
性・年齢別男性50代（n=175）,2.3,22.3,44.6,30.9,24.6,
性・年齢別男性60代（n=156）,5.1,22.4,47.4,25.0,27.6,
性・年齢別男性70歳以上（n=152）,3.3,15.1,56.6,25.0,18.4,
性・年齢別女性（計）（n=952）,6.2,23.4,41.3,29.1,29.6,
性・年齢別女性18・19歳（n=13）,7.7,23.1,46.2,23.1,30.8,
性・年齢別女性20代（n=94）,5.3,17.0,38.3,39.4,22.3,
性・年齢別女性30代（n=113）,0.9,35.4,32.7,31.0,36.3,
性・年齢別女性40代（n=199）,3.0,20.6,43.2,33.2,23.6,
性・年齢別女性50代（n=181）,6.1,29.8,32.0,32.0,35.9,
性・年齢別女性60代（n=156）,7.7,22.4,42.3,27.6,30.1,
性・年齢別女性70歳以上（n=196）,11.7,17.3,53.1,17.9,29.1,
,,,,,,（注）『加入意向（計）』は「既に加入している」「加入したいと思う」の合計
