No,製品・場所等,事例,性別・年齢,内容
1,便器,転落・転倒,男０歳,便器の蓋を開けたままにしていたら、つかまり立ちして覗き込んでいた。幸い落ちずに済んだ。
2,便器,転落・転倒,女１歳,便器の蓋があいていて覗き込んでいて、もう少しで落ちるところだった。
3,便器,誤飲,男１歳,便器に手を突っ込んでコップでたまっている水を飲んでしまい、下痢になって病院に行った。
4,便器,転落・転倒,女２歳,便器に座らせておしっこさせようとしたところ、覗き込んでいた子供が頭から落下した。
5,便器,転落・転倒,男２歳,トイレットペーパーを引っ張ろうとして無理に手を伸ばしたら、便器からそのまま前方に転倒し、おでこを打った。
6,便器,転落・転倒,女３歳,子供が自分でトイレに行っていて、便座によじ登って向きを変える際に踏み外して便器に足が落ちた。そばで見ていたのですぐに支えられたので、けがなどはしなかった。
7,便器,転落・転倒,女３歳,使用後、自分で便座から降りようとした時に頭から落ちた。けがはなく病院に行くほどではなかった。
8,便器,転落・転倒,男３歳,おむつが外れたころ、子供用の便座を使用していたが、それでは小さくなった中途半端な時期に、子供が大人用の便座のまままたがって用を足すようになった。便座の穴が大きいため、お尻から落ちそうになることがあった。
9,便器,転落・転倒,男３歳,冬場に子供用便座が冷たいということから、取り払って成人用の便座で座って用をたしていた際、便座にはまってしまった。
10,子供用便座,転落・転倒,男１歳,子供用便座に座ってはしゃいていたら、子供用便座についていたキャラクター（取っ手）がはずれて落ちて、壁に額をぶつけた。たんこぶができた。
11,子供用便座,転落・転倒,女２歳,自分で下りようとして失敗して落ちた。せまい場所なので頭を打っていたが病院へ行くほどではなかった。
12,子供用便座,転落・転倒,女２歳,自分でトイレに行けるようになったころ、便座が上手くはまっておらず、便器に落ちたことがある。
13,子供用便座,転落・転倒,女２歳,ひとりで用足しできるようになった２歳のとき、途中で寝てしまったようで便座から落ちて口を切ってしまった。
14,子供用便座,はさんだ,女２歳,子供便座がズレて便座と子供便座の間に太ももが挟まった。
15,子供用便座,転落・転倒,男２歳,子供が自分で設置した子供用便座が、ちゃんとはまっておらず座る時に支えにしている持ち手がずれて足場にしている踏み台から足を滑らし膝を強打した。痛がっていたが大事には至らず、もう一度座り直した。
16,子供用便座,転落・転倒,男２歳,トイレトレーニング中にはめ込み式の子供便座が外れてしまい落ちかけた。壁に頭をうった。
17,ドア,転落・転倒,女１歳,扉のノブをつかんでいて、それを知らずに中から開けたときに転倒してしまった。
18,ドア,はさんだ,男１歳,上の子がトイレに入った時に、少しだけドアがあいており、下の子がドアを開けようと手を入れた時に上の子が閉めてしまい、指を挟んだ。
19,ドア,ぶつけた,女２歳,主人がいるときに、自分がトイレに行った。子供も主人もリビングにいるから安心していて、普通にドアを開いてトイレを出ようとしたら、子供がドアの前で待っていてくれたらしく、開いたドアが足にぶつかってけがしてしまった。
20,ドア,はさんだ,男２歳,トイレに自分で入って行きドアの開閉する軸の部分をさわっていたところ、私が気付かずドアを閉めて指を挟んでしまった。
21,ドア,はさんだ,男２歳,トイレの様子を見に行ったら、見られたくなかったようで、ドアのカギを閉めて入れないようにしようとしたので押し問答になり、手をドアに挟みそうになった。
22,ペーパーホルダー,ぶつけた,男０歳,ホルダーの位置が頭と同じで、子供が水を流した後に勢いよく振り向いたら顔面にホルダーが当たり大きなアザができた。
23,ペーパーホルダー,切った,男２歳,ペーパーホルダーをいじっていた。あやうく指を切るところで止めた。
24,掃除用品,誤飲,男１歳,便器内にある洗浄用のジェルをつかんで口に入れようとした。
25,消臭剤,誤飲,女０歳,キラキラしているのが気になったのか消臭剤を口に入れようとした。
26,消臭剤,誤飲,女３歳,ジュースだと思ったのか消臭剤を少し舐めてしまっていた。慌てて吐き出させた。
27,消臭剤,皮膚障害,女３歳,トイレの消臭スプレーを顔に噴射した。
28,トイレマット,転落・転倒,女２歳,トイレが終わって、便座から飛び降りようとした時に、着地に失敗してそのまま転んで頭を打った。
29,トイレマット,転落・転倒,女３歳,引っ掻けて転びそうになった。
30,お尻洗浄シャワー,溺水,男２歳,お尻洗浄シャワーを顔にあびていた。
31,お尻洗浄シャワー,その他,女３歳,補助便座に反応してウォシュレットから水が出た。
32,タオルかけ,ぶつけた,女２歳,タオルを引っ張った反動で壁に頭を打った。
