回答,活動した（計）（％）,活動していない（％）,わからない（％）,備考
全体（n=1820）,13.1,85.1,1.8,
エリア別区部（計）（n=1184）,13.4,84.7,1.9,
エリア別区部センター・コア（n=297）,11.1,86.5,2.4,
エリア別区部区部東部・北部（n=381）,13.6,84.0,2.4,
エリア別区部区部西部・南部（n=506）,14.6,84.2,1.2,
エリア別市町村部（計）（n=636）,12.6,85.7,1.7,
エリア別市町村部多摩東部（n=236）,12.3,86.4,1.3,
エリア別市町村部多摩中央部北（n=99）,8.1,89.9,2.0,
エリア別市町村部多摩中央部南（n=263）,14.1,84.4,1.5,
エリア別市町村部多摩西部・島しょ（n=38）,15.8,78.9,5.3,
性・年齢別男性（計）（n=868）,12.4,86.3,1.3,
性・年齢別男性18・19歳（n=17）,11.8,82.4,5.9,
性・年齢別男性20代（n=87）,9.2,87.4,3.4,
性・年齢別男性30代（n=113）,12.4,87.6,0,
性・年齢別男性40代（n=168）,16.7,81.5,1.8,
性・年齢別男性50代（n=175）,13.7,85.7,0.6,
性・年齢別男性60代（n=156）,11.5,87.8,0.6,
性・年齢別男性70歳以上（n=152）,9.2,89.5,1.3,
性・年齢別女性（計）（n=952）,13.8,83.9,2.3,
性・年齢別女性18・19歳（n=13）,7.7,84.6,7.7,
性・年齢別女性20代（n=94）,9.6,89.4,1.1,
性・年齢別女性30代（n=113）,15.0,83.2,1.8,
性・年齢別女性40代（n=199）,27.1,71.4,1.5,
性・年齢別女性50代（n=181）,13.3,84.5,2.2,
性・年齢別女性60代（n=156）,7.7,89.1,3.2,
性・年齢別女性70歳以上（n=196）,7.1,89.8,3.1,
,,,,（注）『活動した（計）』は「活動していない」「わからない」以外の選択肢をんだ人の割合
