回答,観戦または見たことがある（計）（％）,観戦または見たことはない（％）,わからない（％）,備考
"全体（n=1,820）",71.2,27.8,1.0,
スポーツ観戦の有無別実際に観戦した（計）（n=716）,80.0,19.3,0.7,
"スポーツ観戦の有無別観戦しなかった（n=1,089）",65.4,33.5,1.1,
"テレビ・ラジオ、インターネット配信等での観戦の有無別テレビ・ラジオ、インターネット配信等で観戦した（計）（n=1,680）",75.3,23.9,0.8,
テレビ・ラジオ、インターネット配信等での観戦の有無別観戦しなかった（n=130）,21.5,76.9,1.5,
障害者スポーツへの関心度別関心がある（n=409）,90.7,9.3,0,
障害者スポーツへの関心度別やや関心がある（n=646）,83.1,16.3,0.6,
障害者スポーツへの関心度別あまり関心がない（n=483）,59.0,40.4,0.6,
障害者スポーツへの関心度別関心がない（n=183）,30.1,68.9,1.1,
障害者スポーツへの関心度別わからない（n=99）,47.5,42.4,10.1,
"障害者スポーツへの関心度別関心がない（計）（n=1,055）",86.1,13.6,0.4,
障害者スポーツへの関心度別関心がある（計）（n=666）,51.1,48.2,0.8,
,,,,（注）『観戦または見ことがある（計）』は「観戦または見たことはない」「わからない」以外の選択肢を選んだ人の割合
