,"平成23年度(6,045件)",平成23年度件数,"平成24年度(6,467件)",平成24年度件数,"平成25年度(10,267件)",平成25年度件数,"平成26年度上半期(5,325件)",平成26年度上半期件数
1,パソコンソフト,204,パソコンソフト,279,運動ぐつ,609,運動ぐつ,325
2,デジタルディスクソフト,193,ハンドバッグ,255,パソコンソフト,548,パソコンソフト,240
3,婦人靴,177,婦人靴,253,ハンドバッグ,391,ハンドバッグ,214
4,ハンドバッグ,152,財布類,178,財布類,355,財布類,178
5,保健衛生品その他,138,デジタルディスクソフト,169,婦人靴,326,腕時計,141
6,ミネラルウォーター,117,運動ぐつ,164,腕時計,275,テレビジョン,124
7,他の健康食品,110,腕時計,142,他の健康食品,166,他の健康食品,108
8,ノートパソコン,95,婦人コート,98,デジタルディスクソフト,160,身の回り品その他,80
9,腕時計,87,ノートパソコン,87,紳士靴,144,婦人靴,76
10,婦人コート,76,紳士上着,83,身の回り品その他,128,健康食品一般,68
