科目,当該運用方法を選択している理由,運用金額(百万円）,運用収入(円),執行済み額(百万円）,備考
預貯金,,,,,運用方法別の運用金額・運用収入は公表しておりません。東京都資金管理方針及び東京都資金管理計画において定められた運用を行っております。
短期・長期信託,,,,,運用方法別の運用金額・運用収入は公表しておりません。東京都資金管理方針及び東京都資金管理計画において定められた運用を行っております。
有価証券,,,,,運用方法別の運用金額・運用収入は公表しておりません。東京都資金管理方針及び東京都資金管理計画において定められた運用を行っております。
有価証券国債,,,,,運用方法別の運用金額・運用収入は公表しておりません。東京都資金管理方針及び東京都資金管理計画において定められた運用を行っております。
有価証券政保債・地方債,,,,,運用方法別の運用金額・運用収入は公表しておりません。東京都資金管理方針及び東京都資金管理計画において定められた運用を行っております。
有価証券その他社債等,,,,,運用方法別の運用金額・運用収入は公表しておりません。東京都資金管理方針及び東京都資金管理計画において定められた運用を行っております。
執行済み額（C)の平成21年度合計,,,,593,
執行済み額（C)の平成22年度合計,,,,1514,
執行済み額（C)の平成23年度合計,,,,1814,
執行済み額（C)の平成24年度合計,,,,1654,
執行済み額（C)の平成25年度合計,,,,1555,
執行済み額（C)の平成26年度上半期合計,,,,947,
執行済み額（C)の平成26年度下半期合計,,,,1777,
