回答,比較的軽いスポーツのみ（％）,比較的軽いスポーツと比較的広域にわたるスポーツ（％）,比較的軽いスポーツと競技的スポーツ（％）,比較的軽いスポーツと比較的広域にわたるスポーツと競技的スポーツ（％）,比較的広域にわたるスポーツのみ（％）,比較的広域にわたるスポーツと競技的スポーツ（％）,競技的スポーツのみ（％）,特にない（％）,,,,,,,,
"全体（n=1,820）",35.7,22.0,5.5,16.9,4.6,0.9,2.0,12.5,,,,,,,,
職業別自営・家族従業（計）（n=238）,29.8,27.3,6.3,14.3,6.7,1.7,0.8,13.0,,,,,,,,
職業別勤め（計）（n=926）,30.7,24.6,6.2,19.7,5.2,0.8,2.1,10.9,,,,,,,,
職業別勤め経営・管理職（n=51）,27.5,21.6,13.7,23.5,3.9,0,0,9.8,,,,,,,,
職業別勤め専門・技術職（n=43）,37.2,14.0,16.3,18.6,2.3,0,0,11.6,,,,,,,,
職業別勤め事務職（n=453）,31.1,26.5,4.9,22.3,4.9,0.4,2.4,7.5,,,,,,,,
職業別勤め労務・技能職（n=155）,27.1,21.9,4.5,15.5,6.5,1.9,3.2,19.4,,,,,,,,
職業別勤め販売・サービス職（n=196）,34.2,24.0,5.1,15.8,6.6,1.0,1.5,11.7,,,,,,,,
職業別無職の主婦・主夫（n=432）,50.9,15.0,3.7,10.4,2.8,0.5,1.6,15.0,,,,,,,,
職業別学生（n=73）,16.4,12.3,5.5,42.5,8.2,1.4,8.2,5.5,,,,,,,,
職業別その他の無職（n=141）,43.3,21.3,5.0,9.9,1.4,1.4,1.4,16.3,,,,,,,,
ライフステージ別学校教育期（n=64）,18.8,10.9,4.7,45.3,6.3,1.6,7.8,4.7,,,,,,,,
ライフステージ別独身期（n=174）,24.1,20.1,8.0,20.1,5.2,0.6,2.9,19.0,,,,,,,,
ライフステージ別家族形成期（n=161）,28.0,24.2,7.5,24.8,4.3,1.2,3.1,6.8,,,,,,,,
ライフステージ別家族成長前期（n=167）,22.2,25.1,6.0,29.9,7.2,2.4,1.8,5.4,,,,,,,,
ライフステージ別家族成長後期（n=147）,32.0,25.2,6.8,21.8,6.8,0.7,1.4,5.4,,,,,,,,
ライフステージ別家族成熟期（n=290）,43.1,26.2,4.5,13.8,2.4,0,0.3,9.7,,,,,,,,
ライフステージ別高齢期（n=430）,47.2,16.5,3.3,9.1,2.6,0.7,1.6,19.1,,,,,,,,
,30.7,27.5,37.2,31.1,27.1,34.2,50.9,16.4,43.3,18.8,24.1,28.0,22.2,32.0,43.1,47.2
,24.6,21.6,14.0,26.5,21.9,24.0,15.0,12.3,21.3,10.9,20.1,24.2,25.1,25.2,26.2,16.5
,6.2,13.7,16.3,4.9,4.5,5.1,3.7,5.5,5.0,4.7,8.0,7.5,6.0,6.8,4.5,3.3
,19.7,23.5,18.6,22.3,15.5,15.8,10.4,42.5,9.9,45.3,20.1,24.8,29.9,21.8,13.8,9.1
,8.2,5.2,7.2,1.4,8.2,7.8,12.5,13.0,10.9,9.8,11.6,19.4,11.7,15.0,5.5,16.3
,6.8,5.4,19.1,6.5,2.8,2.6,2.4,6.8,4.3,6.3,1.4,4.9,2.3,3.9,5.2,4.6
,0,0.7,2.4,1.2,0.6,1.6,1.4,1.0,1.9,0.4,0,0,0.8,1.7,0.9,1.6
,1.4,1.8,3.1,2.9,1.4,1.5,3.2,2.4,0,0,2.1,0.8,2.0,9.7,5.4,7.5
