回答,知っている（％）,知らない（％）,,,,,,,,,
"全体（n=1,820）",32.3,67.7,,,,,,,,,
職業別自営・家族従業（計）（n=238）,38.2,61.8,,,,,,,,,
職業別勤め（計）（n=926）,29.0,71.0,,,,,,,,,
職業別勤め経営・管理職（n=51）,41.2,58.8,,,,,,,,,
職業別勤め専門・技術職（n=43）,41.9,58.1,,,,,,,,,
職業別勤め事務職（n=453）,30.2,69.8,,,,,,,,,
職業別勤め労務・技能職（n=155）,23.9,76.1,,,,,,,,,
職業別勤め販売・サービス職（n=196）,25.5,74.5,,,,,,,,,
職業別無職の主婦・主夫（n=432）,35.2,64.8,,,,,,,,,
職業別学生（n=73）,23.3,76.7,,,,,,,,,
職業別その他の無職（n=141）,39.0,61.0,,,,,,,,,
ライフステージ別独身期（n=64）,25.0,75.0,,,,,,,,,
ライフステージ別学校教育期（n=174）,19.5,80.5,,,,,,,,,
ライフステージ別家族形成期（n=161）,21.1,78.9,,,,,,,,,
ライフステージ別家族成長前期（n=167）,24.6,75.4,,,,,,,,,
ライフステージ別家族成長後期（n=147）,27.9,72.1,,,,,,,,,
ライフステージ別家族成熟期（n=290）,35.5,64.5,,,,,,,,,
ライフステージ別高齢期（n=430）,42.6,57.4,,,,,,,,,
23.9,25.5,35.2,23.3,39.0,25.0,19.5,21.1,24.6,27.9,35.5,42.6
76.1,74.5,64.8,76.7,61.0,75.0,80.5,78.9,75.4,72.1,64.5,57.4
