,ｎ数(人),転落・転倒(人),のどに刺さった(人),切った(人),誤飲(人),ぶつけた(人),はさんだ(人),やけど(人),皮膚障害(人),溺水(人),その他(人)
全体,436,209,65,46,36,35,11,6,6,1,21
踏み台,154,152,0,0,0,0,0,0,0,0,2
歯ブラシ,66,0,65,0,0,0,0,0,0,0,1
洗面台,56,20,0,0,0,28,2,0,0,1,5
カミソリ,46,0,0,45,1,0,0,0,0,0,0
洗剤,28,1,0,0,16,1,0,0,5,0,5
バスマット,17,17,0,0,0,0,0,0,0,0,0
床,16,16,0,0,0,0,0,0,0,0,0
洗濯機,11,1,0,0,0,1,3,0,0,0,6
石鹸,9,0,0,0,7,0,1,0,1,0,0
歯磨き粉,5,0,0,0,5,0,0,0,0,0,0
鏡,4,0,0,1,0,2,0,0,0,0,1
水栓,3,0,0,0,0,2,0,1,0,0,0
口腔洗浄剤,3,0,0,0,3,0,0,0,0,0,0
化粧品,2,0,0,0,2,0,0,0,0,0,0
タオル,1,1,0,0,0,0,0,0,0,0,0
窓,1,0,0,0,0,0,1,0,0,0,0
その他,14,1,0,0,2,1,4,5,0,0,1
