No,製品・場所等,事例,性別・年齢,内容
1,浴槽,溺水,男０歳,一番下の子を長男に任せて体を洗っていたら、長男が手を滑らせて浴槽に沈めてしまった。
2,浴槽,溺水,男０歳,浴槽に一緒に入っている時、まだ歩き始めて間もないが、自分で浴槽のふちにつかまって立てるので、見ていたが支えずにいたら、不意にピョンピョンと動いた時に溺れそうになった。
3,浴槽,転落・転倒,女１歳,親が洗髪などをしている間、洗い場で待たせていた１歳の子供が浴槽の中にあるオモチャに気を取られ、乗り出し、そのまま頭から浴槽に落ちた。幸いすぐに抱き上げ、けがもなく済んだ。
4,浴槽,溺水,女１歳,一緒にお風呂に入っている時、浅く２０ｃｍくらいお湯を張った湯船で一人で遊ばせている間に母がシャワーをしていて、５秒ほど目を離したすきに子供が湯船に浮いていた。仰向けに浮かんでいたので、少し水を飲んでむせただけで済んだ。
5,浴槽,溺水,女１歳,洗い場で上の子の洗髪をしていたら、浴槽内で一人で遊んでいた子が湯の中で沈んでいた。湯の中で遊んでいた玩具が落ちてそれを拾おうとして足を滑らせたようで、すぐ気付き大事に至らなかった。
6,浴槽,溺水,女２歳,自分が頭を洗っている間に子供二人を浴槽に入れて遊ばせておいたら、上の子が下の子にふざけて乗っかって、下の子が水の中に沈んでいた。
7,浴槽,溺水,女２歳,子供は浴槽に入っていて、自分は体を洗っていた時に、一瞬目を離した隙に子供が足を滑らせ浴槽のお湯で溺れかけた。すぐに助けたので少しお湯を飲んだ程度で済んだ。
8,浴槽,溺水,女２歳,もうしっかり歩いている２歳児のとき、湯船に浅く湯を張り浸からせておいた。親が石鹸を取りに行くため数十秒風呂場を出て、戻ると溺れていた。
9,洗い場,転落・転倒,男１歳,床が濡れて滑った。ものすごい勢いで後ろに倒れ、後頭部がパックリ切れて夜間救急へ。２針縫った。
10,洗い場,転落・転倒,男３歳,子供が大好きな風呂ではしゃいでいたら浴室の床が濡れており足を滑らせ後頭部から落ちた。幸いにもたんこぶ程度で大事には至らなかった。
11,お風呂いす,転落・転倒,男２歳,浴槽に一人で入ろうとして、お風呂イスを踏み台代わりにしたところ、お風呂イスが滑って浴槽のヘリに体を打ち付けた。
