年代/回答人数,回答,割合(％),人数(人),備考
10～19歳/(141人）,読んだ,18.4,26,
10～19歳/(141人）,見たことはあるが、読んでいない,39.0,55,
10～19歳/(141人）,見たことも読んだこともない,42.6,60,
20～29歳/(144人),読んだ,15.3,22,
20～29歳/(144人),見たことはあるが、読んでいない,44.4,64,
20～29歳/(144人),見たことも読んだこともない,40.3,58,
30～39歳/(144人),読んだ,25.0,36,
30～39歳/(144人),見たことはあるが、読んでいない,31.9,46,
30～39歳/(144人),見たことも読んだこともない,43.1,62,
40～49歳/(144人),読んだ,26.4,38,
40～49歳/(144人),見たことはあるが、読んでいない,41.7,60,
40～49歳/(144人),見たことも読んだこともない,31.9,46,
50～59歳/(144人),読んだ,28.5,41,
50～59歳/(144人),見たことはあるが、読んでいない,41.0,59,
50～59歳/(144人),見たことも読んだこともない,30.6,44,
60～69歳/(144人),読んだ,32.6,47,
60～69歳/(144人),見たことはあるが、読んでいない,40.3,58,
60～69歳/(144人),見たことも読んだこともない,27.1,39,
70歳～/(144人),読んだ,41.7,41.7,
70歳～/(144人),見たことはあるが、読んでいない,45.1,45.1,
70歳～/(144人),見たことも読んだこともない,13.2,13.2,
,,,,n=1005
,,,,単一回答
