回答,必要である（％）,ある程度必要である（％）,あまり必要でない（％）,必要でない（％）,わからない（％）,必要である（計）（％）,必要でない（計）（％）,備考
全体（n=1820）,58.9,33.4,3.3,1.9,2.5,92.3,5.2,
性・年齢別男性（計）（n=868）,63.6,28.6,3.5,2.2,2.2,92.2,5.6,
性・年齢別男性18・19歳（n=17）,58.8,35.3,5.9,0,0,94.1,5.9,
性・年齢別男性20代（n=87）,60.9,28.7,4.6,2.3,3.4,89.7,6.9,
性・年齢別男性30代（n=113）,65.5,23.0,4.4,4.4,2.7,88.5,8.8,
性・年齢別男性40代（n=168）,62.5,31.5,2.4,1.8,1.8,94.0,4.2,
性・年齢別男性50代（n=175）,63.4,29.1,4.6,0.6,2.3,92.6,5.1,
性・年齢別男性60代（n=156）,67.9,26.3,3.8,1.3,0.6,94.2,5.1,
性・年齢別男性70歳以上（n=152）,61.2,30.3,1.3,3.9,3.3,91.4,5.3,
性・年齢別女性（計）（n=952）,54.6,37.8,3.2,1.6,2.8,92.4,4.7,
性・年齢別女性18・19歳（n=13）,53.8,38.5,0,0,7.7,92.3,,
性・年齢別女性20代（n=94）,46.8,45.7,2.1,2.1,3.2,92.6,4.3,
性・年齢別女性30代（n=113）,52.2,39.8,3.5,1.8,2.7,92.0,5.3,
性・年齢別女性40代（n=199）,55.3,41.7,0.5,0.5,2.0,97.0,1.0,
性・年齢別女性50代（n=181）,58.6,33.7,3.3,0.6,3.9,92.3,3.9,
性・年齢別女性60代（n=156）,57.1,35.9,4.5,0,2.6,92.9,4.5,
性・年齢別女性70歳以上（n=196）,53.6,34.2,5.1,4.6,2.6,87.8,9.7,
職業別自営・家族従業（計）（n=238）,60.5,33.6,2.1,0.8,2.9,94.1,2.9,
職業別勤め（計）（n=926）,59.2,32.8,3.6,1.6,2.8,92.0,5.2,
職業別勤め経営・管理職（n=51）,74.5,21.6,3.9,0,0,96.1,3.9,
職業別勤め専門・技術職（n=43）,53.5,41.9,2.3,0,2.3,95.3,2.3,
職業別勤め事務職（n=453）,60.9,31.3,3.5,1.3,2.9,92.3,4.9,
職業別勤め労務・技能職（n=155）,55.5,34.8,5.2,2.6,1.9,90.3,7.7,
職業別勤め販売・サービス職（n=196）,56.1,35.2,3.1,2.6,3.1,91.3,5.6,
職業別無職の主婦・主夫（n=432）,60.4,31.7,3.5,3.0,1.4,92.1,6.5,
職業別学生（n=73）,60.3,34.2,4.1,0,1.4,94.5,4.1,
職業別その他の無職（n=141）,50.4,40.4,2.8,2.8,3.5,90.8,5.7,
,,,,,,,,（注）『必要である（計）』は「必要である」「ある程度必要である」の合計『必要でない（計）』は「必要でない」「あまり必要でない」の合計
