都道府県名,高等学校(円）,中学校(円）,小学校(円）,幼稚園(円）
北海道,349818,315602,315425,165165
青森,324627,317075,-,180544
岩手,345473,317076,315432,180344
宮城,324546,303597,303083,175068
秋田,337442,-,-,181663
山形,373621,-,-,184145
福島,351075,317074,341241,185509
茨城,335808,306492,294910,172078
栃木,324700,285400,283900,185217
群馬,353330,316312,311120,197266
埼玉,263005,228652,235600,181463
千葉,343127,317074,315419,184550
東京,367813,335003,250836,182080
神奈川,272551,214608,228331,143014
新潟,344447,315252,-,196642
富山,346268,300246,-,197297
石川,349953,306971,303987,192257
福井,309471,376726,283666,181630
山梨,337831,306759,306700,160468
長野,319786,305669,308738,151815
岐阜,339851,310633,309653,197265
静岡,374905,326124,325469,190251
愛知,324301,297725,283547,169550
三重,324874,317074,315418,173843
滋賀,310552,253906,238431,158041
京都,322011,284522,281325,203204
大阪,303731,237215,214747,182124
兵庫,343118,299959,296008,187572
奈良,330488,244854,237653,186904
和歌山,322272,296113,297284,182287
鳥取,463036,451826,-,166993
島根,313885,296790,-,170220
岡山,248773,275760,230839,169039
広島,348652,311876,308724,170798
山口,334234,255294,-,178802
徳島,341870,303091,299334,168879
香川,333804,279615,-,181533
愛媛,319185,322824,-,175172
高知,335924,316207,315419,167873
福岡,344319,315503,315416,183563
佐賀,362102,317074,-,184447
長崎,349811,317074,315419,181685
熊本,312181,318566,-,178680
大分,321590,317074,315419,169827
宮崎,323834,304575,315415,169527
鹿児島,334557,319861,320617,182624
沖縄,326667,318883,317453,181542
全国平均,330337,295055,263693,176805
