回答,参加している(％),参加したいが、できていない(％),参加するつもりがない(％),無回答(％)
全体（n=1821）,35.2,30.0,34.3,0.5
性・年齢別男性（計）（n=891）,29.6,30.9,38.8,0.7
性・年齢別男性20代（n=71）,12.7,32.4,54.9,0
性・年齢別男性30代（n=131）,20.6,32.8,46.6,0
性・年齢別男性40代（n=197）,25.9,37.6,36.0,0.5
性・年齢別男性50代（n=174）,33.3,31.6,34.5,0.6
性・年齢別男性60代（n=154）,37.0,29.9,32.5,0.6
性・年齢別男性70歳以上（n=164）,37.8,20.7,39.6,1.8
性・年齢別女性（計）（n=930）,40.5,29.1,30.0,0.3
性・年齢別女性20代（n=78）,19.2,41.0,39.7,0
性・年齢別女性30代（n=141）,34.0,32.6,31.9,1.4
性・年齢別女性40代（n=180）,49.4,27.8,22.8,0
性・年齢別女性50代（n=147）,46.3,25.9,27.9,0
性・年齢別女性60代（n=177）,42.4,31.1,26.6,0
性・年齢別女性70歳以上（n=207）,39.6,24.2,35.7,0.5
