順位(位),23,平成23年度(件)/(340件),24,平成24年度(件)/(458件),25,平成25年度(件)/(597件),26,平成26年度(件)/(624件),平成27年度上半期,平成27年度上半期(件)/(322件),備考
1,施術不良,128,返金,189,解約＊,229,施術不良,258,施術不良,114,
2,高価格・料金,100,施術不良,157,施術不良,220,解約＊,217,高価格・料金,113,
3,返金,91,電子公告,140,返金,217,高価格・料金,203,解約＊,101,
4,解約＊,78,高価格・料金,136,高価格・料金,165,返金,184,返金,93,
5,説明不足,74,解約＊,126,電子広告,143,電子広告,155,説明不足,85,
6,電子広告,74,説明不足,121,説明不足,117,効能・効果,142,電子公告,85,
7,補償,58,約束不履行,59,他の傷病・症状,84,説明不足,139,効能・効果,50,
8,他の傷病・症状,44,補償,51,約束不履行,83,他の傷病・症状,124,契約書・書面＊,44,
9,皮膚障害,42,効能・効果,50,強引,75,強引,98,強引,40,
10,契約書・書面＊,38,他の傷病・症状,48,効能・効果,72,皮膚障害,97,補償,39,
,,,,,,,,,,,＊は上位キーワードで集計したもの
,,,,,,,,,,,(複数選択項目)
