回答,関心がある（％）,やや関心がある（％）,あまり関心がない（％）,関心がない（％）,わからない（％）,関心がある（計）（％）,関心がない（計）（％）,備考
"全体（n=1,820）",22.5,35.5,26.5,10.1,5.4,58.0,36.6,
職業別自営・家族従業（計）（n=238）,24.4,34.0,27.3,7.6,6.7,58.4,34.9,
職業別勤め（計）（n=926）,17.8,36.8,29.2,11.0,5.2,54.6,40.2,
職業別勤め経営・管理職（n=51）,19.6,43.1,19.6,13.7,3.9,62.7,33.3,
職業別勤め専門・技術職（n=43）,11.6,44.2,25.6,16.3,2.3,55.8,41.9,
職業別勤め事務職（n=453）,19.4,35.8,29.8,10.4,4.6,55.2,40.2,
職業別勤め労務・技能職（n=155）,14.2,40.6,27.1,11.6,6.5,54.8,38.7,
職業別勤め販売・サービス職（n=196）,18.9,34.2,33.2,8.7,5.1,53.1,41.8,
職業別無職の主婦・主夫（n=432）,30.1,36.3,20.4,8.1,5.1,66.4,28.5,
職業別学生（n=73）,27.4,32.9,21.9,11.0,6.8,60.3,32.9,
職業別その他の無職（n=141）,24.1,29.8,29.1,12.1,5.0,53.9,41.1,
ライフステージ別高齢期（n=64）,28.1,32.8,21.9,9.4,7.8,60.9,31.3,
ライフステージ別学校教育期（n=174）,12.1,25.9,42.0,14.9,5.2,37.9,56.9,
ライフステージ別家族形成期（n=161）,15.5,36.6,31.1,11.2,5.6,52.2,42.2,
ライフステージ別家族成長前期（n=167）,22.2,38.9,25.7,6.6,6.6,61.1,32.3,
ライフステージ別家族成長後期（n=147）,17.0,42.9,24.5,10.2,5.4,59.9,34.7,
ライフステージ別家族成熟期（n=290）,19.0,43.4,25.5,7.9,4.1,62.4,33.4,
ライフステージ別独身期（n=430）,33.5,33.3,20.0,7.7,5.6,66.7,27.7,
,,,,,,,,（注）『関心がある（計）』は「関心がある」「やや関心がある」の合計『関心がない（計）』は「関心がない」「あまり関心がない」の合計
