,n,テレビ番組（％）,新聞（％）,ＣＭ（％）,ポスター（％）,ラジオ番組（％）,ＳＮＳ（フェイスブック、ツイッターなど）（％）,ホームページ、ブログ（％）,雑誌（％）,家族・友人・知人（％）,大会、イベント（％）,その他（％）,情報を得ていない（％）,わからない（％）
全体,1820,88.6,28.7,16.0,8.1,6.3,5.8,5.4,4.7,3.8,2.5,1.0,4.7,3.0
職業別自営・家族従業（計）,238,91.2,29.8,17.2,7.6,5.5,5.5,5.9,4.2,4.2,2.1,0.4,2.1,2.5
職業別勤め（計）,926,88.3,23.5,17.4,10,6.0,6.5,6.8,5.3,4.1,3.1,1.6,5.2,2.2
職業別勤め経営・管理職,51,88.2,43.1,19.6,13.7,7.8,9.8,9.8,5.9,,5.9,2.0,2.0,
職業別勤め専門・技術職,43,86.0,16.3,9.3,7.0,4.7,4.7,16.3,4.7,2.3,2.3,2.3,7.0,2.3
職業別勤め事務職,453,88.3,24.3,18.3,11.0,5.1,7.9,7.9,5.3,4.6,3.5,1.8,4.9,2.4
職業別勤め労務・技能職,155,90.3,18.7,11.0,6.5,8.4,5.2,3.2,5.2,3.2,1.3,0.6,5.2,1.3
職業別勤め販売・サービス職,196,87.8,23.5,20.4,10.7,5.6,3.6,4.1,5.6,5.6,3.1,1.5,6.6,2.6
職業別無職の主婦・主夫,432,88.7,38.2,14.1,5.6,8.8,3.9,3.0,4.4,3.0,2.1,0.7,4.9,3.9
職業別学生,73,83.6,16.4,20.5,6.8,1.4,13.7,2.7,4.1,4.1,,,9.6,5.5
職業別その他の無職,141,90.1,38.3,9.2,4.3,4.3,3.5,2.8,2.8,4.3,1.4,,1.4,5.0
ライフステージ別学校教育期,64,87.5,17.2,20.3,7.8,1.6,14.1,3.1,4.7,4.7,,,6.3,4.7
ライフステージ別独身期,174,81.6,9.8,12.6,8.0,2.9,7.5,6.3,1.1,4.6,1.7,1.1,11.5,2.3
ライフステージ別家族形成期,161,88.8,11.2,18.0,6.8,6.2,9.9,8.7,1.9,6.8,3.7,1.9,5.0,1.9
ライフステージ別家族成長前期,167,89.8,18.6,22.8,10.2,6.0,7.8,9.0,4.2,3.6,3.0,1.8,3.6,1.2
ライフステージ別家族成長後期,147,90.5,27.2,15.0,5.4,2.7,8.2,5.4,4.8,3.4,0.7,1.4,2.0,2.7
ライフステージ別家族成熟期,290,94.5,33.4,17.6,10.3,5.9,3.8,5.9,6.2,4.5,2.8,1.4,1.7,1.7
ライフステージ別高齢期,430,90.2,46.7,12.1,7.2,10.9,1.6,1.9,6.3,3.0,2.8,,2.6,4.7
