,21,平成21年度件数,22,平成22年度件数,23,平成23年度件数,24,平成24年度件数,平成25年度上半期,平成25年度上半期件数
1,見積り,145,見積り,179,見積り,219,見積り,196,見積り,109
2,約束不履行,132,高価格・料金,140,高価格・料金,165,約束不履行,123,約束不履行,71
3,高価格・料金,127,約束不履行,120,約束不履行,155,高価格・料金,113,補償,63
4,契約,110,補償,103,補償,101,補償,110,高価格・料金,62
5,補償,105,解約一般,98,クレーム処理,94,契約書・書面一般,103,クレーム処理,51
6,クレーム処理,103,クレーム処理,94,説明不足,94,クレーム処理,96,他の接客対応,44
7,信用性,94,説明不足,85,解約一般,92,説明不足,85,信用性,41
8,解約一般,87,契約書・書面一般,83,契約書・書面一般,91,契約,82,説明不足,41
9,説明不足,83,契約,82,信用性,87,信用性,77,解約一般,40
10,製造・施工不良一般,67,信用性,79,契約,85,他の製造・施工不良,64,契約書・書面一般,39
