区分,計,交通事故,火災,運動競技,自然災害,水難事故,労働災害,一般負傷,自損行為,加害事故,急病
平成30年,20075,957,8,393,1,129,203,5115,205,40,13024
令和元年,22494,1041,12,363,0,168,205,5789,222,38,14656
令和2年,21083,896,12,183,2,123,185,5502,252,44,13884
令和3年,22773,823,11,246,0,91,185,5304,260,37,15816
令和4年,24004,758,10,251,0,82,179,5104,305,44,17271
実施者別・医療従事者,7636,133,1,55,0,2,30,1013,35,2,6365
実施者別・家族,6176,50,5,16,0,45,14,1362,165,10,4509
実施者別・第三者（通行人等）,2361,342,0,3,0,8,7,1058,16,9,918
実施者別・福祉関係者,3347,4,0,1,0,3,1,475,7,2,2854
実施者別・集客施設等関係者,1514,21,0,32,0,18,5,451,7,3,977
実施者別・職場・学校関係者,1157,10,0,86,0,0,113,265,15,3,665
実施者別・友人・近隣者,845,23,1,54,0,2,4,231,22,2,506
実施者別・消防職員・消防団員,134,23,0,1,0,0,0,52,2,0,56
実施者別・警察官,537,104,2,0,0,2,3,130,35,13,248
実施者別・その他公的機関,21,0,0,0,0,0,0,5,1,0,15
実施者別・その他,276,48,1,3,0,2,2,62,0,0,158
都民処置・胸骨圧迫（心マッサージ）,5362,46,2,16,0,62,10,396,176,0,4654
都民処置・止血・創傷処置,2175,196,1,38,0,0,74,1706,28,20,112
都民処置・観察・バイタルサイン測定等,6996,102,1,34,0,2,22,764,20,0,6051
都民処置・保温・冷却,937,43,2,80,0,1,20,411,0,5,375
都民処置・体位管理,4854,231,1,43,0,2,41,1210,34,13,3279
都民処置・移動（危険回避）,626,71,1,9,0,17,8,200,51,1,268
都民処置・人工呼吸,405,3,0,3,0,9,0,35,14,0,341
都民処置・病院医・往診医その他医療処置,2095,21,0,14,0,0,7,183,11,2,1857
都民処置・ＡＥＤ装着、心電図測定,1441,17,1,10,0,13,3,107,19,0,1271
都民処置・在宅療法・既往における処置対応,925,0,0,0,0,0,0,64,0,0,861
都民処置・固定処置,169,27,0,61,0,0,5,69,0,0,7
都民処置・気道確保,252,9,0,4,0,1,0,16,7,0,215
都民処置・異物除去,401,1,0,0,0,0,0,306,1,0,93
都民処置・除細動,310,3,0,5,0,1,2,4,0,0,295
都民処置・その他,2010,113,3,9,0,3,12,471,19,6,1374
