年次,救急要請,医療機関案内,かかりつけ案内,口頭指導,他機関案内,看護師への医師助言,医師直接対応,監督員対応,相談者による途中切断等,その他
平成30年,30003,103000,37898,91441,2769,44183,68,0,1881,14791
令和元年,31412,117877,45616,91671,4559,40265,2,0,2678,17129
令和2年,34392,106484,40910,54504,8295,28306,0,0,2597,17325
令和3年,38755,115920,40648,52839,4723,20547,0,0,2672,18717
令和4年,42674,126153,46354,57204,3978,30231,0,1,2626,21823
1月,3749,11186,3820,4462,271,2376,0,0,239,1873
2月,3133,8887,3573,4256,326,2529,0,0,261,1657
3月,3267,10050,3741,4533,276,2343,0,0,247,1575
4月,3102,9682,3374,4320,207,2593,0,0,228,1528
5月,3496,11001,3432,4391,213,2646,0,1,196,1557
6月,3338,10313,3796,4368,193,2315,0,0,176,1676
7月,3729,12041,4564,5696,444,3357,0,0,218,2182
8月,3796,10351,4985,5383,542,3487,0,0,239,2068
9月,3629,10399,4008,4380,331,2477,0,0,205,1675
10月,3640,10433,3678,4776,251,2140,0,0,194,1759
11月,3694,10272,3576,4988,394,1946,0,0,192,1947
12月,4101,11538,3807,5651,530,2022,0,0,231,2326
