応援消防署,"応援を受けた消防本部",件数・計,件数・普通応援,件数・特別応援,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,従事・放水時間（分）,出場人員・計,出場人員・従事,出場人員・不従事
平成30年,合計,246,234,12,564,345,106,71,42,74,222,7,5,623,2414,859,1555
令和元年,合計,267,259,8,644,390,130,72,52,78,226,5,0,271,2573,893,1680
令和2年,合計,234,231,3,514,326,96,56,36,66,178,6,0,360,2088,710,1378
令和3年,合計,260,251,9,699,393,115,121,70,70,248,10,27,276,2875,1011,1864
令和4年,合計,219,213,6,548,313,101,88,46,59,160,5,39,1860,2238,661,1577
田園調布,川崎市,10,10,0,28,14,3,5,6,1,10,0,0,0,121,44,77
蒲田,川崎市,18,18,0,69,36,18,12,3,10,25,0,0,0,288,111,177
矢口,川崎市,13,13,0,46,24,4,9,9,0,0,0,0,0,210,0,210
玉川,川崎市,11,11,0,22,15,7,0,0,6,11,0,0,0,81,42,39
成城,川崎市,1,1,0,4,2,0,0,2,0,0,0,0,0,16,0,16
赤羽,川口市,2,2,0,20,7,2,8,3,0,0,0,0,0,88,0,88
赤羽,戸田市,4,4,0,11,7,4,0,0,3,7,0,0,0,40,27,13
志村,戸田市,5,5,0,32,10,5,13,4,4,26,0,0,0,130,111,19
志村,埼玉県南西部,8,8,0,10,8,2,0,0,2,3,0,0,0,38,11,27
石神井,埼玉西部,1,1,0,3,2,1,0,0,1,3,0,0,0,12,12,0
石神井,埼玉県南西部,12,11,1,21,15,6,0,0,6,10,2,10,324,81,41,40
足立,草加八潮,4,3,1,9,5,3,0,1,3,6,1,12,680,35,21,14
西新井,草加八潮,1,1,0,10,4,1,4,1,0,0,0,0,0,40,0,40
西新井,川口市,8,8,0,29,15,8,5,1,4,8,2,16,812,112,31,81
金町,三郷市,1,1,0,1,1,0,0,0,0,0,0,0,0,4,0,4
金町,松戸市,10,10,0,11,10,1,0,0,0,0,0,0,0,44,0,44
本田,松土市,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4
江戸川,市川市,4,4,0,4,4,0,0,0,0,0,0,0,0,16,0,16
葛西,浦安市,13,12,1,44,18,9,13,4,3,12,0,0,0,171,44,127
小 岩,市川市,38,38,0,62,44,6,10,2,4,11,0,0,0,253,45,208
府中,稲城市,1,1,0,3,2,0,0,1,0,0,0,0,0,13,0,13
東村山,埼玉西部,3,3,0,3,3,0,0,0,0,0,0,0,0,15,0,15
狛江,川崎市,14,13,1,22,17,1,3,1,0,0,0,0,0,92,0,92
北多摩西部,埼玉西部,1,1,0,1,1,0,0,0,0,0,0,0,0,4,0,4
清瀬,埼玉県南西部,2,2,0,2,2,0,0,0,0,0,0,0,0,8,0,8
東久留米,埼玉県南西部,2,2,0,2,2,0,0,0,0,0,0,0,0,10,0,10
西東京,埼玉県南西部,2,2,0,2,2,0,0,0,1,1,0,0,0,10,5,5
八王子,相模原市,6,5,1,21,11,6,1,3,5,13,0,0,0,82,56,26
青梅,埼玉西部,7,7,0,23,14,7,1,1,3,8,0,1,44,88,34,54
町田,横浜市,5,4,1,17,6,5,3,3,3,6,0,0,0,67,26,41
町田,川崎市,2,2,0,2,2,0,0,0,0,0,0,0,0,8,0,8
町田,相模原市,8,8,0,8,8,0,0,0,0,0,0,0,0,33,0,33
町田,大和市,1,1,0,6,2,2,1,1,0,0,0,0,0,24,0,24
