月別,計・回数,計・人員,火災・回数,火災・人員,水災・回数,水災・人員,その他の災害・回数,その他の災害・人員,予防警戒・回数,予防警戒・人員,教育訓練・回数,教育訓練・人員,機械整備・回数,機械整備・人員
平成30年度,54553,387897,1210,5281,64,281,530,1641,19012,119277,25504,238849,8233,22568
令和元年度,52662,367990,1125,4936,125,647,673,2071,17348,108634,25421,231654,7970,20048
令和2年度,28234,138998,1217,5433,6,14,439,1664,7625,47385,10816,64680,8131,19822
令和3年度,32067,159874,1210,5276,18,105,642,2721,9343,58338,12673,74219,8181,19215
令和4年度,49450,309946,1001,4162,0,0,674,2072,13562,80158,26482,205052,7731,18502
4月,4076,29815,84,327,0,0,60,173,590,3142,2685,24612,657,1561
5月,5634,50010,66,245,0,0,83,249,703,4502,4156,43501,626,1513
6月,4351,33469,79,352,0,0,49,159,559,2005,3028,29414,636,1539
7月,3143,14285,73,337,0,0,60,198,755,2934,1586,9243,669,1573
8月,2571,11117,53,174,0,0,34,115,436,1912,1392,7354,656,1562
9月,3489,18098,63,264,0,0,71,159,641,2624,2057,13480,657,1571
10月,4241,25672,64,328,0,0,64,211,915,4203,2550,19350,648,1580
11月,5385,31593,91,345,0,0,58,199,2383,14425,2207,15064,646,1560
12月,5038,32940,111,439,0,0,44,106,2886,23750,1375,7147,622,1498
1月,3074,17591,125,514,0,0,53,131,806,4582,1475,10912,615,1452
2月,3253,14696,127,513,0,0,52,154,718,2899,1697,9545,659,1585
3月,5195,30660,65,324,0,0,46,218,2170,13180,2274,15430,640,1508
