火元建物の構造,火災件数・計,火災件数・焼損程度・全焼,火災件数・焼損程度・半焼,火災件数・焼損程度・部分焼,火災件数・焼損程度・ぼや,火災件数・出火階・地階,火災件数・出火階・１階,火災件数・出火階・２階,火災件数・出火階・３階,"火災件数・出火階・４階以上",焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成30年,2609,58,86,423,2042,135,1093,590,231,560,2883,74,101,511,2197,2151,172,169,1810,18158,5853910274,80,754
令和元年,2811,73,81,434,2223,165,1135,626,260,625,3147,92,97,553,2405,2289,203,168,1918,18030,7135079558,103,649
令和2年,2598,55,72,383,2088,137,1057,564,247,593,2911,63,84,486,2278,2184,155,126,1903,15802,5416484736,80,658
令和3年,2720,70,76,316,2258,178,1092,589,255,606,3082,100,93,435,2454,2321,211,150,1960,15292,3952506761,79,605
令和4年,2778,74,74,366,2264,144,1105,643,280,606,3145,107,89,498,2451,2463,202,152,2109,21675,5316839864,80,683
木造建物,49,22,1,4,22,0,45,3,0,1,149,45,3,30,71,181,22,10,149,5122,1153291164,10,17
防火構造建物,620,35,56,105,424,0,391,226,3,0,813,41,66,181,525,892,97,85,710,7928,1494383167,40,232
耐火建物,1831,0,2,208,1621,141,505,325,258,602,1849,0,2,215,1632,1149,63,40,1046,2427,1262443477,21,354
準耐火建物イ,180,6,6,31,137,3,84,75,15,3,209,8,8,50,143,175,11,11,153,2960,485558698,6,49
準耐火建物ロ,40,0,3,7,30,0,29,8,3,0,46,0,3,8,35,43,5,5,33,311,152395769,2,18
その他,58,11,6,11,30,0,51,6,1,0,79,13,7,14,45,23,4,1,18,2927,768767589,1,13
