類別,計,製造所,貯蔵所・小計,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・小計,取扱所・給油,取扱所・第１種販売,取扱所・第２種販売,取扱所・移送,取扱所・一般
平成30年度,12599,68,7914,1724,352,1165,2958,7,1546,162,4617,1690,216,91,12,2608
平成30年度（島しょ）,436,0,309,23,104,17,55,1,57,52,127,64,0,0,11,52
令和元年度,12516,65,7819,1695,345,1146,2971,7,1497,158,4632,1661,207,89,11,2664
令和元年度（島しょ）,432,0,303,20,104,17,55,1,55,51,129,64,0,0,10,55
令和2年度,12492,64,7796,1666,338,1141,2970,10,1512,159,4632,1639,197,87,11,2698
令和2年度（島しょ）,435,0,304,20,105,17,54,1,55,52,131,64,0,0,10,57
令和3年度,12414,64,7759,1650,329,1151,2961,8,1510,150,4591,1613,189,86,11,2692
令和3年度（島しょ）,432,0,302,19,105,17,54,1,57,49,130,63,0,0,10,57
令和4年度,12394,62,7746,1632,311,1162,2975,8,1509,149,4586,1583,183,85,11,2724
令和4年度,415,0,286,19,93,17,54,1,54,48,129,63,0,0,10,56
第一類,15,0,10,10,0,0,0,0,0,0,5,0,3,0,0,2
第一類（島しょ）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第二類,12,0,12,8,0,0,0,0,4,0,0,0,0,0,0,0
第二類（島しょ）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第三類,4,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0
第三類（島しょ）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第四類,12105,49,7553,1509,309,1162,2975,8,1441,149,4503,1583,168,75,11,2666
第四類（島しょ）,415,0,286,19,93,17,54,1,54,48,129,63,0,0,10,56
第五類,5,1,3,2,1,0,0,0,0,0,1,0,0,0,0,1
第五類（島しょ）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
第六類,3,0,2,0,1,0,0,0,1,0,1,0,0,0,0,1
第六類（島しょ）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
混在,250,11,163,102,0,0,0,0,61,0,76,0,12,10,0,54
混在（島しょ）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
