出火原因,死者の発生した火災件数,"死者の発生した火災件数（うち自損放火）",年齢・計,年齢・計（うち自損放火）,年齢・0～5歳,年齢・6～9歳,年齢・10～19歳,年齢・10～19歳（うち自損放火）,年齢・20～29歳,年齢・20～29歳（うち自損放火）,年齢・30～39歳,年齢・30～39歳（うち自損放火）,年齢・40～49歳,年齢・40～49歳（うち自損放火）,年齢・50～59歳,年齢・50～59歳（うち自損放火）,年齢・60～64歳,年齢・60～64歳（うち自損放火）,年齢・65～69歳,年齢・65～69歳（うち自損放火）,年齢・70～79歳,年齢・70～79歳（うち自損放火）,年齢・80歳以上,年齢・80歳以上（うち自損放火）,年齢・不明,年齢・不明（うち自損放火）
平成30年,79,12,86,12,0,0,0,0,0,0,1,1,5,0,10,0,8,2,16,3,14,3,14,2,18,1
令和元年,95,17,108,17,1,0,0,0,1,0,5,2,9,2,13,2,14,2,12,2,27,3,26,4,0,0
令和2年,80,10,86,10,0,0,0,0,1,0,3,1,5,2,13,4,15,1,3,0,20,1,36,1,0,0
令和3年,78,13,86,14,0,0,0,0,2,2,3,3,7,2,6,0,8,3,7,1,22,2,31,1,0,0
令和4年,78,14,89,14,0,0,1,1,2,0,4,2,2,0,15,2,3,1,9,1,27,0,25,6,1,1
放火,19,14,23,14,0,0,1,1,2,0,3,2,0,0,3,2,2,1,2,1,3,0,6,6,1,1
たばこ,14,0,15,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,7,0,2,0,0,0
電気ストーブ,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0
コード,5,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0
ロウソク,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
ガステーブル等,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
差込みプラグ,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
大型ガスこんろ,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
放火の疑い,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ガスストーブ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
電気こんろ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
白熱灯スタンド,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
その他,20,0,24,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,1,0,8,0,7,0,0,0
