消防署,変電設備・高圧,変電設備・特別高圧,発電設備・低圧,発電設備・高圧,蓄電池設備・１００Ｖ未満,蓄電池設備・１００Ｖ以上,燃料電池発電設備・低圧,燃料電池発電設備・高圧
平成30年,75802,1802,16231,2283,4600,5557,7,0
令和元年,76580,1829,16731,2324,4638,5620,8,1
令和2年,77170,1844,17099,2357,4701,5674,7,1
令和3年,77556,1847,17375,2376,4729,5715,7,1
令和4年,78133,1854,17713,2388,4760,5759,7,1
特別区,60322,1599,13585,1941,3527,4660,5,1
丸の内,196,109,76,85,78,159,0,0
麹町,1400,62,381,88,104,254,0,1
神田,2786,45,486,75,90,180,0,0
京橋,2275,77,635,80,107,239,0,0
日本橋,2293,55,483,91,78,206,0,0
臨港,375,22,125,29,32,57,0,0
芝,2375,113,578,150,133,286,1,0
麻布,1195,21,262,24,55,66,0,0
赤坂,1366,39,351,67,56,150,0,0
高輪,701,37,207,46,69,108,0,0
品川,1123,66,329,61,61,152,0,0
大井,695,25,178,30,55,72,0,0
荏原,462,10,115,14,32,32,0,0
大森,1304,45,238,41,71,110,0,0
田園調布,568,7,107,10,39,25,0,0
蒲田,961,38,224,37,49,97,0,0
矢口,607,14,110,11,35,26,0,0
目黒,1234,33,263,31,75,66,1,0
世田谷,1288,17,249,32,97,53,0,0
玉川,812,6,176,12,52,44,0,0
成城,812,14,215,15,53,38,0,0
渋谷,3439,77,765,125,154,288,0,0
四谷,1035,17,238,28,50,80,1,0
牛込,1016,21,177,41,44,81,0,0
新宿,2147,87,571,67,142,151,0,0
中野,695,17,134,21,48,37,0,0
野方,361,9,70,8,23,25,0,0
杉並,948,9,211,22,74,41,0,0
荻窪,633,8,156,12,47,29,1,0
小石川,780,25,207,39,67,102,0,0
本郷,977,17,212,27,58,79,0,0
豊島,1449,27,339,35,84,86,0,0
池袋,865,9,191,6,49,51,0,0
王子,479,12,111,11,43,38,0,0
赤羽,577,16,151,22,38,37,0,0
滝野川,440,7,77,6,42,25,0,0
板橋,693,13,203,17,49,35,0,0
志村,1360,20,311,35,88,93,0,0
練馬,873,5,154,12,58,32,0,0
光が丘,547,9,124,10,31,19,0,0
石神井,774,7,181,6,40,30,0,0
上野,1350,21,304,21,63,78,0,0
浅草,1160,9,163,9,31,32,0,0
日本堤,501,7,111,10,19,15,0,0
荒川,663,15,181,15,37,42,1,0
尾久,342,3,65,7,16,18,0,0
千住,505,12,118,13,27,36,0,0
足立,1260,15,264,17,84,44,0,0
西新井,934,6,162,12,44,32,0,0
本所,1140,20,198,31,49,53,0,0
向島,567,11,74,13,31,26,0,0
深川,1533,116,484,109,131,232,0,0
城東,1492,46,293,40,97,105,0,0
本田,1047,13,203,16,64,33,0,0
金町,608,12,120,14,40,42,0,0
江戸川,713,8,139,5,44,21,0,0
葛西,1002,13,212,21,59,59,0,0
小岩,589,5,123,9,41,13,0,0
受託地区,17811,255,4128,447,1233,1099,2,0
立川,1550,19,317,57,104,122,1,0
武蔵野,898,17,194,28,43,61,0,0
三鷹,791,10,159,20,55,40,0,0
府中,1078,32,263,48,77,108,0,0
昭島,537,8,125,13,38,36,0,0
調布,923,14,199,25,67,42,0,0
小金井,442,5,88,7,29,26,0,0
小平,773,7,194,20,64,41,0,0
東村山,614,10,110,11,43,29,0,0
国分寺,403,8,97,6,31,21,0,0
狛江,216,0,47,4,22,7,0,0
北多摩西部,698,2,125,13,49,27,0,0
清瀬,293,2,89,8,21,27,0,0
東久留米,247,5,60,3,13,8,0,0
西東京,653,13,144,11,51,25,0,0
八王子,2824,36,624,69,157,173,0,0
青梅,703,4,212,7,52,33,0,0
町田,1612,11,446,18,107,78,0,0
日野,700,12,138,20,53,49,1,0
福生,784,14,186,10,49,33,0,0
多摩,584,19,162,39,51,80,0,0
秋川,442,5,127,8,47,26,0,0
奥多摩,46,2,22,2,10,7,0,0
