"応援を受けた消防本部・応援救急隊",出場件数・合計,出場件数・搬送,出場件数・不搬送・小計,"出場件数・不搬送・現場処置",出場件数・不搬送・不救護,救護人員・計,救護人員・搬送,"救護人員・現場処置",搬送人員（程度別）・死亡,搬送人員（程度別）・重篤,搬送人員（程度別）・重症,搬送人員（程度別）・中等症,搬送人員（程度別）・軽症
平成30年,62,44,16,0,16,47,45,1,0,2,5,12,27
令和元年,77,47,29,0,29,59,57,2,0,3,2,18,37
令和2年,50,30,20,0,20,38,36,2,0,2,1,12,21
令和3年,45,30,15,0,15,36,36,0,0,0,3,10,23
令和4年,52,37,37,0,15,42,42,0,0,0,6,12,24
相模原市・八王子第１Ａ,1,1,1,0,0,3,3,0,0,0,0,0,3
相模原市・浅川Ａ,1,1,1,0,0,1,1,0,0,0,1,0,0
相模原市・楢原Ａ,1,0,0,0,1,0,0,0,0,0,0,0,0
相模原市・八王子第２Ａ,1,1,1,0,0,1,1,0,0,0,0,0,1
川崎市・玉川新町Ａ,2,1,1,0,1,1,1,0,0,0,0,0,1
川崎市・千歳第２Ａ,1,1,1,0,0,1,1,0,0,0,0,0,1
川崎市・羽田Ａ,2,2,2,0,0,2,2,0,0,0,0,2,0
川崎市・蒲田Ａ,1,0,0,0,1,0,0,0,0,0,0,0,0
川崎市・山谷Ａ,1,0,0,0,1,0,0,0,0,0,0,0,0
川崎市・森ケ崎Ａ,1,1,1,0,0,1,1,0,0,0,0,1,0
川崎市・奥沢Ａ,1,0,0,0,1,,,0,0,0,0,0,0
横浜市・南Ａ,1,1,1,0,0,1,1,0,0,0,1,0,0
横浜市・八王子第１Ａ,1,0,0,0,1,,,0,0,0,0,0,0
横浜市・多摩センター第１Ａ,1,1,1,0,0,1,1,0,0,0,0,0,1
横浜市・町田第１Ａ,1,1,1,0,0,1,1,0,0,0,0,0,1
市川市・江戸川第１Ａ,1,0,0,0,1,0,0,0,0,0,0,0,0
市川市・船堀Ａ,1,0,0,0,1,0,0,0,0,0,0,0,0
市川市・大島Ａ,1,1,1,0,0,1,1,0,0,0,0,1,0
市川市・南小岩Ａ,1,1,1,0,0,1,1,0,0,0,1,0,0
松戸市,0,0,0,0,0,0,0,0,0,0,0,0,0
浦安市・葛西第２Ａ,1,1,1,0,0,1,1,0,0,0,0,1,0
浦安市・篠?Ａ,1,1,1,0,0,1,1,0,0,0,0,1,0
浦安市・瑞江Ａ,1,1,1,0,0,1,1,0,0,0,0,1,0
稲城市,0,0,0,0,0,0,0,0,0,0,0,0,0
三郷市,0,0,0,0,0,0,0,0,0,0,0,0,0
草加八潮・淵江Ａ,1,1,1,0,0,1,1,0,0,0,0,1,0
草加八潮・城東第２Ａ,1,1,1,0,0,3,3,0,0,0,0,0,3
川口市・足立第２Ａ,1,1,1,0,0,1,1,0,0,0,0,0,1
埼玉西部・新川Ａ,1,0,0,0,1,0,0,0,0,0,0,0,0
埼玉西部・羽村Ａ,1,0,0,0,1,0,0,0,0,0,0,0,0
埼玉西部・青梅Ａ,2,1,1,0,1,1,1,0,0,0,0,0,1
埼玉西部・日向和田Ａ,1,0,0,0,1,0,0,0,0,0,0,0,0
埼玉西部・福生Ａ,1,0,0,0,1,0,0,0,0,0,0,0,0
戸田市・西が丘Ａ,1,1,1,0,0,1,1,0,0,0,0,0,1
戸田市・板橋デイタイムＡ,3,3,3,0,0,4,4,0,0,0,0,0,4
戸田市・板橋Ａ,2,2,2,0,0,2,2,0,0,0,0,1,1
戸田市・北町Ａ,1,1,1,0,0,1,1,0,0,0,1,0,0
戸田市・蓮根Ａ,1,0,0,0,1,0,0,0,0,0,0,0,0
秩父,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県南西部・花小金井Ａ,1,1,1,0,0,1,1,0,0,0,0,0,1
埼玉県南西部・小茂根Ａ,1,1,1,0,0,1,1,0,0,0,0,1,0
埼玉県南西部・石神井Ａ,1,1,1,0,0,1,1,0,0,0,1,0,0
埼玉県南西部・東久留米Ａ,2,2,2,0,0,2,2,0,0,0,0,0,2
埼玉県南西部・石神井公園Ａ,1,0,0,0,1,0,0,0,0,0,0,0,0
埼玉県南西部・大泉Ａ,1,1,1,0,0,1,1,0,0,0,0,0,1
上野原市,0,0,0,0,0,0,0,0,0,0,0,0,0
東山梨,0,0,0,0,0,0,0,0,0,0,0,0,0
大月市,0,0,0,0,0,0,0,0,0,0,0,0,0
都留市,0,0,0,0,0,0,0,0,0,0,0,0,0
富士五湖,0,0,0,0,0,0,0,0,0,0,0,0,0
海老名市,0,0,0,0,0,0,0,0,0,0,0,0,0
