用途,"防火管理者を選任し届出しなければならない防火対象物（令和3年12月末）","防火管理者を選任し届出している防火対象物（令和3年12月末）","防火管理者の選任届・解任届受理状況（令和3年中）・選任","防火管理者の選任届・解任届受理状況（令和3年中）・解任","統括防火管理者を選任し届出しなければならない防火対象物（令和3年12月末）","統括防火管理者を選任し届出している防火対象物（令和3年12月末）"
計,"111,088","106,093","58,109","46,322","44,612","31,493"
（一）・イ・劇場、映画館、演芸場又は観覧場,93,91,38,32,10,9
（一）・ロ・公会堂又は集会場,42,42,14,12,4,4
（二）・イ・キャバレー、カフェー、ナイトクラブその他これらに類するもの,36,31,10,3,16,7
（二）・ロ・遊技場又はダンスホール,350,343,151,153,24,19
（二）・ハ・その他の性風俗店舗,6,5,1,1,1,1
（二）・ニ・カラオケボックス等,160,159,100,98,8,3
"（三）・イ・待合、料理店その他これらに類するもの",43,40,3,2,1,0
（三）・ロ・飲　　　食　　　店,"3,908","3,693","1,718","1,551",692,444
（四）・百貨店、マーケットその他の物品販売業を営む店舗又は展示場,"3,987","3,817","2,040","1,773",177,134
（五）・イ・旅館、ホテル又は宿泊所,"1,537","1,495",550,495,87,81
（五）・ロ・寄宿舎、下宿又は共同住宅,"31,684","30,251","5,971","5,122",757,304
（六）・イ・（１）病院,210,207,47,40,3,2
（六）・イ・（２）有床診療所,111,108,14,9,5,2
（六）・イ・（３）病院（（六）項イ?を除く。）、有床診療所（（六）項イ?を除く。）又は有床助産所,408,401,99,93,13,13
（六）・イ・（４）無床診療所又は無床助産所,304,294,80,53,44,32
（六）・ロ・（１）老人短期入所施設、特別養護老人ホーム等,1946,1931,721,621,34,30
（六）・ロ・（２）救護施設,6,6,3,2,0,0
（六）・ロ・（３）乳児院,3,3,1,1,0,0
（六）・ロ・（４）障害児入所施設,15,15,8,8,0,0
（六）・ロ・（５）障害者支援施設等,152,149,47,35,0,0
（六）・ハ・（１）老人デイサービスセンター等,276,273,97,87,14,12
（六）・ハ・（２）更生施設,11,11,6,6,0,0
（六）・ハ・（３）助産施設、保育所等,2120,2110,616,520,21,15
（六）・ハ・（４）児童発達支援センター、情緒障害児短期治療施設等,39,39,19,18,3,3
（六）・ハ・（５）身体障害者福祉センター、障害者支援施設等,363,360,123,99,9,9
（六）・ニ・幼稚園又は特別支援学校,750,745,101,96,2,2
"（七）・小学校、中学校、高等学校、中等教育学校､高等専門学校､大学､専修学校､各種学校その他これらに類するもの",3291,3243,966,945,14,7
（八）・図書館、博物館、美術館その他これらに類するもの,266,266,77,73,1,0
"（九）・イ・公衆浴場のうち、蒸気浴場、熱気浴場その他これらに類するもの",154,151,30,30,11,10
（九）・ロ・イに掲げる公衆浴場以外の公衆浴場,282,279,6,8,1,1
（十）・車両の停車場又は船舶若しくは航空機の発着場,85,83,138,143,4,3
"(十一)・神社、寺院、教会その他これらに類するもの",1621,1591,89,67,4,2
(十二)・イ・工場又は作業場,790,770,139,132,3,2
(十二)・ロ・映画スタジオ又はテレビスタジオ,11,11,5,3,1,0
(十三)・イ・自動車車庫又は駐車場,245,235,45,39,21,16
(十三)・ロ・飛行機又は回転翼航空機の格納庫,1,1,2,2,0,0
(十四)倉庫,584,559,343,289,16,14
(十五)・①官公署,922,911,525,511,9,5
(十五)・②事務所,"7,909","7,584","6,056","4,390",582,350
(十五)・③その他の事業場,4174,3988,1549,1401,107,61
(十六)・イ特定用途を含む複合用途,34440,32431,32183,24755,25393,17799
(十六)・ロその他の複合用途,7692,7310,3210,2479,3486,1930
(十六の二)地下街,10,10,160,117,8,8
(十六の三)準地下街,0,0,0,0,3,3
(十七)文化財建造物,51,51,8,8,0,0
高層建築物,0,0,0,0,13023,10156
