出火階,火災件数／計,火災件数／地下階層／地下1階,火災件数／地下階層／地下2階,火災件数／地下階層／地下3階,火災件数／地下階層／地下4階,火災件数／地下階層／地下5階,火災件数／地下階層／地下6階以上,火災件数／地上階層／地上階なし,火災件数／地上階層／1階建,火災件数／地上階層／2階建,火災件数／地上階層／3階建,火災件数／地上階層／4階建,火災件数／地上階層／5階建,火災件数／地上階層／6階建,火災件数／地上階層／7階建,火災件数／地上階層／8階建,火災件数／地上階層／9階建,火災件数／地上階層／10階建,火災件数／地上階層／11階建,火災件数／地上階層／12階建,火災件数／地上階層／13階建,火災件数／地上階層／14階建,火災件数／地上階層／15階以上,火災件数／損傷程度／全焼,火災件数／損傷程度／半焼,火災件数／損傷程度／部分焼,火災件数／損傷程度／ぼや,焼損棟数,り災世帯数,り災人員,焼損床面積(m2),損害額(千円),死者,傷者,
計,436,344,60,22,6,3,1,3,8,48,48,51,48,32,36,36,36,25,18,11,4,17,15,5,7,30,394,464,184,510,2421,1438706,2,70,計
24階,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,1,－,1,25,64,159,141985,－,6,24
14階,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,－,1,1,－,－,－,－,－,－,14
13階,1,－,－,－,－,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,1,1,－,－,－,21,－,－,13
12階,3,3,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,2,－,－,－,3,3,3,12,－,69,－,2,12
11階,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,1,1,1,1,－,6,－,－,11
10階,3,1,1,1,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,－,－,2,－,－,－,1,2,3,1,3,5,2601,－,－,10
9階,9,7,－,2,－,－,－,－,－,－,－,－,－,－,－,－,－,5,2,1,－,－,1,－,－,1,8,9,11,28,25,13308,－,1,9
8階,7,4,2,1,－,－,－,－,－,－,－,－,－,－,－,1,1,2,1,1,－,－,1,－,－,3,4,7,8,26,83,42728,－,5,8
7階,16,12,3,－,－,－,1,－,－,－,－,－,－,－,7,4,2,－,－,－,－,1,2,－,－,－,16,16,4,5,2,3750,－,2,7
6階,10,8,2,－,－,－,－,－,－,－,－,－,－,3,1,1,2,1,－,－,－,1,1,－,1,1,8,10,4,14,17,6988,－,1,6
5階,16,14,1,1,－,－,－,－,－,－,－,－,7,－,2,2,2,1,1,－,1,－,－,－,－,－,16,16,5,15,3,11471,－,4,5
4階,31,27,2,2,－,－,－,－,－,－,－,4,9,3,3,2,2,3,1,2,－,2,－,－,－,2,29,31,8,17,158,49641,－,6,4
3階,44,36,7,－,－,1,－,－,－,－,7,12,4,4,3,3,3,2,1,3,－,1,1,－,1,4,39,45,19,51,197,69065,－,2,3
2階,67,56,10,1,－,－,－,－,－,10,13,9,7,5,6,5,6,1,1,－,1,2,1,－,2,5,60,70,33,85,476,635238,1,15,2
1階,131,112,14,2,2,1,－,－,3,28,17,15,10,12,8,11,7,7,4,1,2,6,－,5,3,7,116,153,59,181,1152,392122,1,14,1
地下1階,80,61,12,5,2,－,－,3,2,10,9,11,9,5,5,5,8,2,6,2,－,1,2,－,－,5,75,82,3,8,144,68996,－,10,B1
地下2階,10,－,6,4,－,－,－,－,2,－,1,－,2,－,1,2,2,－,－,－,－,－,－,－,－,－,10,10,－,－,－,712,－,2,B2
地下3階,5,－,－,3,2,－,－,－,1,－,1,－,－,－,－,－,1,－,1,－,－,－,1,－,－,－,5,5,－,－,－,5,－,－,B3
