時間帯,救急出場件数・計,救急出場件数・交通事故,救急出場件数・火災,救急出場件数・運動競技,救急出場件数・自然災害,救急出場件数・水難事故,救急出場件数・労働災害,救急出場件数・一般負傷,救急出場件数・自損行為,救急出場件数・加害事故,救急出場件数・急病,救急出場件数・転院搬送,救急出場件数・資器材輸送,救急出場件数・医師搬送,救急出場件数・その他,救護人員・計,救護人員・交通事故,救護人員・火災,救護人員・運動競技,救護人員・自然災害,救護人員・水難事故,救護人員・労働災害,救護人員・一般負傷,救護人員・自損行為,救護人員・加害事故,救護人員・急病,救護人員・転院搬送
平成30年,818062,47957,3240,5429,22,901,5328,146765,5049,6594,543660,43314,546,210,9047,727401,45492,687,5412,20,489,5256,133619,3634,5287,484629,42876
令和元年,825929,45696,3539,5281,21,880,5404,147601,5317,6112,550306,45179,556,211,9826,732842,42978,611,5260,14,458,5349,133954,3858,4826,490825,44709
令和2年,720965,38829,3209,2933,7,730,4535,133902,5700,5223,476455,38980,503,160,9799,626536,35769,619,2917,7,365,4478,119814,4000,3930,416078,38559
令和3年,743703,39614,3249,3495,19,583,4616,130625,5865,4909,497198,42345,558,189,10438,631407,35690,566,3468,10,259,4528,115001,4071,3621,422429,41764
令和4年,872075,41101,3354,4616,8,565,5241,150587,6664,5257,599469,42990,712,181,11330,710381,36767,584,4551,4,263,5146,129964,4544,3723,483190,41645
0時,26795,711,121,15,1,27,69,4060,257,387,19994,718,4,2,429,19454,554,33,14,0,18,66,3087,183,265,14612,622
1時,22292,535,100,9,0,10,58,3034,228,358,16947,608,3,2,400,15985,448,11,7,0,6,55,2325,163,241,12186,543
2時,19664,431,93,8,1,10,61,2552,232,313,15126,503,5,2,327,14146,368,17,8,0,4,61,1946,176,207,10912,447
3時,17793,364,93,5,0,7,41,2137,202,258,13965,430,3,5,283,13025,280,25,4,0,2,41,1655,156,185,10300,377
4時,17270,401,94,0,0,4,42,2094,189,235,13594,340,1,1,275,13022,345,17,0,0,2,41,1664,143,163,10339,308
5時,19641,588,100,4,0,16,53,2485,192,197,15404,315,5,4,278,15126,505,22,4,0,4,51,2025,116,122,11991,286
6時,24023,959,88,6,0,20,66,3420,212,172,18429,326,3,2,320,19200,858,10,5,0,8,65,2911,140,114,14782,307
7時,30682,1695,124,44,2,21,132,4663,223,157,22888,364,4,1,364,24935,1537,23,42,1,5,129,4034,131,116,18570,347
8時,39829,2577,157,67,0,23,267,6379,212,174,28799,750,17,4,403,34714,2392,28,65,0,8,266,5829,140,140,25121,725
9時,48514,2256,170,187,1,39,477,8267,241,124,33739,2434,81,10,488,42706,2072,31,187,1,8,467,7592,150,98,29709,2391
10時,51048,2502,160,386,0,30,486,9004,286,132,33805,3578,70,11,598,44400,2275,27,387,0,6,481,8194,187,105,29208,3530
11時,48542,2554,139,459,0,25,530,8995,277,139,30927,3829,61,15,592,41555,2292,35,456,0,6,521,8092,182,109,26110,3752
12時,47698,2508,148,411,0,31,325,8720,308,155,30086,4378,81,14,533,40658,2255,29,413,0,10,323,7810,211,118,25186,4303
13時,46930,2386,191,335,0,30,400,8509,307,135,30108,3921,57,14,537,39781,2135,38,334,0,9,403,7607,202,101,25096,3856
14時,45157,2404,163,396,2,27,427,8402,264,140,29210,3064,67,21,570,37898,2203,28,387,2,6,418,7425,160,106,24179,2984
15時,44611,2472,185,406,0,22,379,8401,313,153,28415,3292,58,11,504,37201,2255,28,400,0,11,369,7361,211,120,23239,3207
16時,45377,2720,149,371,1,35,351,8685,325,148,28381,3562,55,10,584,37670,2478,19,365,0,19,343,7603,214,113,23040,3476
17時,45034,2945,149,323,0,25,275,8611,347,177,28486,3036,46,11,603,36937,2657,16,319,0,13,265,7467,219,117,22905,2959
18時,44513,2818,153,256,0,25,209,8330,317,195,29431,2177,32,7,563,36223,2510,22,251,0,15,207,7197,217,146,23549,2109
19時,42509,2150,181,270,0,30,148,8049,405,206,28997,1475,20,8,570,34161,1923,34,263,0,23,146,6870,279,153,23045,1425
20時,40626,1733,178,367,0,39,127,7467,345,259,28285,1233,16,8,569,32330,1545,26,360,0,32,122,6327,241,180,22310,1187
21時,37911,1365,154,179,0,35,133,6958,317,302,26949,952,11,1,555,29521,1169,19,173,0,25,127,5807,232,219,20843,907
22時,34849,1088,145,81,0,20,109,6115,366,357,25110,940,6,14,498,26690,931,27,79,0,16,104,4948,266,241,19202,876
23時,30767,939,119,31,0,14,76,5250,299,384,22394,765,6,3,487,23043,780,19,28,0,7,75,4188,225,244,16756,721
