時間帯,出場件数・計,出場件数・区分・救命,出場件数・区分・搬送困難,出場件数・区分・傷害事件等,出場件数・区分・繁華街等,出場件数・区分・直近地域,出場件数・区分・遅延
平成30年,153612,119931,24798,1390,3987,2495,1011
令和元年,152169,118786,25020,1364,3896,2310,793
令和2年,128424,100526,22061,1287,2477,1557,516
令和3年,134144,104099,23307,1263,2635,1899,941
令和4年,165670,131217,24982,1314,3493,2627,2037
0時台,4622,3424,642,89,410,47,10
1時台,3591,2644,504,77,320,36,10
2時台,3117,2328,415,69,278,25,2
3時台,2824,2100,415,50,245,14,0
4時台,2924,2171,436,60,234,20,3
5時台,3499,2640,531,46,258,23,1
6時台,4469,3529,843,32,16,47,2
7時台,6198,4864,1166,46,26,74,22
8時台,7585,5934,1440,39,26,106,40
9時台,8900,6907,1724,36,20,127,86
10時台,9537,7525,1639,42,16,170,145
11時台,9619,7832,1377,28,12,181,189
12時台,9272,7623,1231,36,14,198,170
13時台,8783,7154,1279,47,21,133,149
14時台,8201,6599,1266,35,14,163,124
15時台,8092,6616,1146,31,20,152,127
16時台,8278,6725,1166,51,19,170,147
17時台,8892,7262,1175,60,28,198,169
18時台,9596,7973,1184,50,38,163,188
19時台,9062,7454,1192,58,44,149,165
20時台,8411,6718,1160,58,203,145,127
21時台,7575,5802,1128,82,360,119,84
22時台,6805,5074,1068,101,419,96,47
23時台,5818,4319,855,91,452,71,30
