区分,計,国立,公立・都立・市町村立,公的・日本赤十字社・済生会・国保団体連合会等,私立・病院・,私立・診療所,その他の場所
平成30年,726428,55498,85177,42036,538217,5499,1
令和元年,731900,57972,84064,42047,542354,5463,0
令和2年,625639,46632,66240,36999,471482,4286,0
令和3年,630287,46524,57854,38230,482377,5122,180
令和4年,708695,54074,71823,44300,529831,7313,1354
医療機関等の数,726,21,34,12,540,119,0
救急告示・搬送人員,685229,51491,69415,44123,516018,4182,0
救急告示・医療機関数,310,11,21,9,262,7,0
救急告示以外・搬送人員,9471,743,100,175,4127,2972,1354
救急告示以外・医療機関数,331,4,4,1,217,105,0
管轄外・搬送人員,13995,1840,2308,2,9686,159,0
管轄外・医療機関数,85,6,9,2,61,7,0
