区分,計,流出事故,流出事故・第一石油類,流出事故・アルコール類,流出事故・第二石油類,流出事故・第三石油類,流出事故・第四石油類,流出事故・動植物油類,流出事故・その他,破損事故等,死者,負傷者
平成30年,84,32,4,0,16,5,3,1,3,52,0,7
令和元年,94,23,5,0,9,8,1,0,0,71,0,9
令和2年,99,19,5,0,9,4,1,0,0,80,0,5
令和3年,91,20,2,0,9,6,3,0,0,71,0,3
令和4年,80,22,5,0,6,10,0,0,1,58,0,5
製造所,0,0,0,0,0,0,0,0,0,0,0,0
屋内貯蔵所,0,0,0,0,0,0,0,0,0,0,0,0
屋外タンク貯蔵所,2,2,0,0,0,2,0,0,0,0,0,0
屋内タンク貯蔵所,0,0,0,0,0,0,0,0,0,0,0,0
地下タンク貯蔵所,6,3,0,0,1,2,0,0,0,3,0,0
簡易タンク貯蔵所,0,0,0,0,0,0,0,0,0,0,0,0
移動タンク貯蔵所,0,0,0,0,0,0,0,0,0,0,0,0
屋外貯蔵所,0,0,0,0,0,0,0,0,0,0,0,0
給油取扱所,59,6,4,0,2,0,0,0,0,53,0,4
販売取扱所,0,0,0,0,0,0,0,0,0,0,0,0
移送取扱所,0,0,0,0,0,0,0,0,0,0,0,0
一般取扱所,5,4,0,0,0,4,0,0,0,1,0,0
仮貯蔵・仮取扱,0,0,0,0,0,0,0,0,0,0,0,0
無許可施設,1,1,1,0,0,0,0,0,0,0,0,1
運搬車両,3,3,0,0,3,0,0,0,0,0,0,0
少量危険物貯蔵取扱所,3,2,0,0,0,2,0,0,0,1,0,0
指定可燃物貯蔵取扱所,1,1,0,0,0,0,0,0,1,0,0,0
高圧ガス関係施設等,0,0,0,0,0,0,0,0,0,0,0,0
