月別,救急出場件数・計,救急出場件数・交通事故,救急出場件数・火災,救急出場件数・運動競技,救急出場件数・自然災害,救急出場件数・水難事故,救急出場件数・労働災害,救急出場件数・一般負傷,救急出場件数・自損行為,救急出場件数・加害事故,救急出場件数・急病,救急出場件数・転院搬送,救急出場件数・資器材輸送,救急出場件数・医師搬送,救急出場件数・その他,救護人員・計,救護人員・交通事故,救護人員・火災,救護人員・運動競技,救護人員・自然災害,救護人員・水難事故,救護人員・労働災害,救護人員・一般負傷,救護人員・自損行為,救護人員・加害事故,救護人員・急病,救護人員・転院搬送
計,872075,41101,3354,4616,8,565,5241,150587,6664,5257,599469,42990,712,181,11330,710381,36767,584,4551,4,263,5146,129964,4544,3723,483190,41645
1月,73706,3387,328,233,1,91,376,13788,509,392,49277,4221,51,16,1036,60885,3051,56,229,1,38,368,11951,365,278,40495,4053
2月,65103,2601,335,190,0,68,329,10359,425,328,45988,3592,48,13,827,50174,2240,69,186,0,37,320,8654,272,224,34810,3362
3月,66783,3338,318,307,2,57,412,11749,503,446,44846,3808,38,19,940,54541,2980,56,301,1,28,407,10015,336,301,36423,3693
4月,65673,3463,236,447,1,35,405,11773,538,454,43888,3518,59,10,846,55221,3087,33,441,0,18,399,10143,374,301,36955,3470
5月,67601,3419,254,506,1,30,421,12083,662,466,45302,3407,56,16,978,57359,3074,47,499,1,14,413,10640,442,335,38540,3354
6月,71688,3666,269,547,0,36,530,13355,637,465,47485,3573,57,17,1051,60646,3271,47,537,0,16,514,11819,440,350,40131,3521
7月,89026,3692,247,381,0,26,518,13491,610,454,65083,3414,83,14,1013,69531,3307,41,373,0,8,507,11632,405,325,49682,3251
8月,79219,3009,219,263,0,33,419,11426,551,399,58903,2944,61,16,976,59545,2683,32,258,0,10,410,9641,375,265,43087,2784
9月,68160,3527,259,416,2,34,467,11566,638,418,46525,3349,56,19,884,56535,3169,34,410,0,11,461,9995,447,314,38405,3289
10月,70298,3628,289,536,0,33,492,13421,548,455,46411,3539,62,15,869,59684,3317,58,534,0,12,494,11760,376,324,39330,3479
11月,72163,3549,278,463,1,50,441,12888,519,461,48738,3739,71,7,958,60143,3163,46,461,1,28,429,11237,362,344,40409,3663
12月,82655,3822,322,327,0,72,431,14688,524,519,57023,3886,70,19,952,66117,3425,65,322,0,43,424,12477,350,362,44923,3726
