発災場所を管轄する消防本部,事案数・計,事案数・普通応援で対応,事案数・特別応援で対応,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,従事・放水時間（分）,出場人員・計,出場人員・従事,出場人員・不従事
令和4年,211,206,5,560,318,108,88,46,62,168,5,39,1860,2276,689,1587
川口市,10,10,0,49,22,10,13,4,4,8,2,16,812,200,31,169
秩父,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉西部,12,12,0,30,20,8,1,1,4,11,0,1,44,119,46,73
草加八潮,5,4,1,19,9,4,4,2,3,6,1,12,680,75,21,54
戸田市,12,12,0,53,20,16,13,4,10,41,0,0,0,204,166,38
埼玉県南西部,16,15,1,37,29,8,0,0,9,14,2,10,324,147,57,90
三郷市,1,1,0,1,1,0,0,0,0,0,0,0,0,4,0,4
市川市,42,42,0,66,48,6,10,2,4,11,0,0,0,269,45,224
松戸市,11,11,0,12,11,1,0,0,0,0,0,0,0,48,0,48
浦安市,13,12,1,44,18,9,13,4,3,12,0,0,0,171,44,127
稲城市,2,2,0,4,3,0,0,1,0,0,0,0,0,17,0,17
横浜市,3,3,0,17,6,5,3,3,3,6,0,0,0,67,26,41
川崎市,69,68,1,193,110,33,29,21,17,46,0,0,0,816,197,619
相模原市,14,13,1,29,19,6,1,3,5,13,0,0,0,115,56,59
大和市,1,1,0,6,2,2,1,1,0,0,0,0,0,24,0,24
海老名市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
都留市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富士五湖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大月市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東山梨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
上野原市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
