月別,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,火災件数・治外法権,火災件数・管外からの延焼火災,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,焼損棟数・焼損床面積（㎡）,焼損棟数・損害額（円）,死   者,負 傷 者
平成30年,3973,2696,64,87,447,2098,2,225,3,0,1046,1,0,2200,174,169,1857,4239,2999,84,102,540,2273,18604,6070982850,86,798
令和元年,4089,2904,81,83,455,2285,5,206,1,0,969,3,1,2335,203,171,1961,4395,3284,107,100,583,2494,18295,7688941420,108,705
令和2年,3694,2667,63,73,404,2127,1,216,0,0,809,1,0,2239,160,127,1952,4270,3028,73,85,518,2352,16136,5587944177,86,710
令和3年,3939,2812,71,76,349,2316,6,215,1,0,901,4,0,2382,223,151,2008,4527,3228,112,93,475,2548,16448,4208012095,86,664
令和4年,3953,2850,80,75,387,2308,3,187,3,0,909,1,0,2499,202,152,2145,4786,3259,126,90,524,2519,21974,5466720488,89,742
１月,401,260,7,7,38,208,0,18,0,0,123,0,0,213,15,16,182,374,304,21,8,48,227,2652,989408273,6,68
２月,354,264,11,14,43,196,1,11,2,0,76,0,0,350,47,28,275,640,330,12,16,64,238,2268,852085138,21,76
３月,380,262,12,11,37,202,2,22,0,0,93,1,0,257,15,26,216,453,323,26,13,51,233,2602,609111141,17,76
４月,304,228,8,8,23,189,0,19,0,0,57,0,0,192,11,10,171,354,254,9,9,34,202,1388,396487718,4,47
５月,314,232,6,2,34,190,0,11,0,0,71,0,0,152,11,7,134,318,251,6,2,44,199,1643,301072754,7,58
６月,315,224,8,5,27,184,0,17,1,0,73,0,0,167,13,11,143,340,255,12,7,40,196,2158,404588933,3,64
７月,302,217,12,1,36,168,0,12,0,0,73,0,0,185,6,4,175,424,252,17,2,46,187,2160,208793031,3,56
８月,266,196,3,5,24,164,0,14,0,0,56,0,0,145,5,5,135,277,220,6,6,30,178,842,183351947,2,51
９月,248,184,0,4,24,156,0,13,0,0,51,0,0,118,6,8,104,214,186,0,4,24,158,422,138403770,2,40
10月,308,233,4,4,24,201,0,17,0,0,58,0,0,199,9,6,184,359,259,4,6,34,215,1003,222935642,9,69
11月,352,244,2,4,39,199,0,19,0,0,89,0,0,202,26,13,163,366,266,2,4,45,215,659,175165790,5,57
12月,409,306,7,10,38,251,0,14,0,0,89,0,0,319,38,18,263,667,359,11,13,64,271,4177,985316351,10,80
