月別,受付件数・計,受付件数・医療機関案内,受付件数・救急相談,受付件数・相談前救急要請,受付件数・かけ直し依頼,受付件数・その他
平成30年,398877,196012,201943,666,254,2
令和元年,417013,184425,231686,717,185,0
令和2年,362454,140261,221379,664,150,0
令和3年,362392,124228,236757,719,679,9
令和4年,439507,175822,262036,824,825,0
1月,38551,15882,22473,73,123,0
2月,32244,12576,19520,61,87,0
3月,32488,11837,20525,70,56,0
4月,31773,12381,19278,49,65,0
5月,35175,14214,20872,51,38,0
6月,32216,11740,20381,50,45,0
7月,47812,22007,25620,88,97,0
8月,42617,17729,24717,79,92,0
9月,34613,12979,21517,63,54,0
10月,33939,12922,20909,58,50,0
11月,35260,13668,21479,55,58,0
12月,42819,17887,24745,127,60,0
