危険物品名(kg),計,製造所,屋内貯蔵所,屋外タンク貯蔵所 ,屋内タンク貯蔵所,地下タンク貯蔵所,簡易タンク貯蔵所,移動タンク貯蔵所,屋外貯蔵所,給油取扱所,販売取扱所・第１種,販売取扱所・第２種,移送取扱所,一般取扱所
第四類_特殊引火物,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"第四類_第一石油類・非水溶性液体	",2367.067,-,66.666,850,-,100,0.6,194,-,496.551,-,-,580,79.25
"第四類_第一石油類・水溶性液体	",0.7,-,0.7,-,-,-,-,-,-,-,-,-,-,-
第四類_アルコール類,0.155,-,0.155,-,-,-,-,-,-,-,-,-,-,-
"第四類_第二石油類・非水溶性液体	",24826.2905,-,56.148,18893.081,8.7,908.69,0.6,349.56,383.4098,2040.422,-,-,1720,465.6797
"第四類_第二石油類・水溶性液体	",11.1,-,2.1,-,-,-,-,-,-,4,-,-,-,5
"第四類_第三石油類・非水溶性液体	",18428.6826,-,6.586,11697.3,193.365,260,-,51,635.98,134.05,-,-,4570,880.4016
"第四類_第三石油類・水溶性液体	",12,-,-,-,-,-,-,-,-,-,-,-,-,12
第四類_第四石油類　,97.8835,-,13.785,-,-,-,-,-,37,-,-,-,-,47.0985
第四類_動植物油類,-,-,-,-,-,-,-,-,-,-,-,-,-,-
