"応援を行った消防本部・応援救急隊名",出場件数・合計,出場件数・搬送,出場件数・不搬送・小計,出場件数・不搬送・現場処置,出場件数・不搬送・不救護,救護人員・計,救護人員・搬送,救護人員・現場処置,搬送人員（程度別）・死亡,搬送人員（程度別）・重篤,搬送人員（程度別）・重症,搬送人員（程度別）・中等症,搬送人員（程度別）・軽症
平成30年,143,103,41,8,33,130,122,8,0,0,1,24,97
令和元年,164,116,49,11,38,141,135,8,3,0,3,26,103
令和2年,95,58,37,5,32,70,67,3,3,0,7,15,42
令和3年,102,49,53,20,33,68,53,15,1,0,4,15,33
令和4年,72,44,28,6,22,56,52,4,0,3,6,12,31
稲城市・稲城A,2,0,2,1,1,1,1,0,0,0,0,0,1
川崎市・臨港A,1,1,0,0,0,1,1,0,0,0,0,0,1
川崎市・殿町A,2,1,1,1,0,2,1,1,0,0,0,0,1
川崎市・大島A,1,0,1,0,1,0,0,0,0,0,0,0,0
川崎市・南河原A,1,1,0,0,0,1,1,0,0,0,0,0,1
川崎市・高津A,3,1,2,0,2,2,2,0,0,0,0,0,2
川崎市・新作A,2,2,0,0,0,2,2,0,0,2,0,0,0
川崎市・宮前A,8,8,0,0,0,8,8,0,0,0,1,1,6
川崎市・向丘A,3,3,0,0,0,6,6,0,0,0,0,0,6
川崎市・宮崎A,4,2,2,0,2,2,2,0,0,0,0,0,2
川崎市・菅生A,3,1,2,0,2,1,1,0,0,0,0,1,0
川崎市・宿河原A,1,1,0,0,0,1,1,0,0,0,1,0,0
相模原市・相原A,3,2,1,0,1,3,3,0,0,0,0,0,3
相模原市・城山A,1,1,0,0,0,1,1,0,0,1,0,0,0
相模原市・藤野A,1,1,0,0,0,1,1,0,0,0,0,1,0
相模原市・国府台1A,1,0,1,1,0,1,0,1,0,0,0,0,0
相模原市・東2A,3,3,0,0,0,3,3,0,0,0,0,3,0
相模原市・東1A,1,0,1,1,0,1,0,1,0,0,0,0,0
相模原市・広尾1A,0,0,0,0,0,0,0,0,0,0,0,0,0
相模原市・行徳1A,0,0,0,0,0,0,0,0,0,0,0,0,0
浦安市・浦安今川1A,1,0,1,0,1,0,0,0,0,0,0,0,0
浦安市・浦安今川2A,1,1,0,0,0,1,1,0,0,0,0,1,0
川口市・南平1A,2,0,2,0,2,0,0,0,0,0,0,0,0
川口市・鳩ケ谷A,1,1,0,0,0,1,1,0,0,0,1,0,0
戸田市・西部A,2,1,1,0,1,1,1,0,0,0,0,0,1
戸田市・本署A,3,0,3,0,3,0,0,0,0,0,0,0,0
戸田市・東部A,1,0,1,0,1,0,0,0,0,0,0,0,0
草加八潮・救急八潮４,1,1,0,0,0,1,1,0,0,0,0,0,1
草加八潮・救急谷塚１,1,0,1,1,0,1,0,1,0,0,0,0,0
草加八潮・救急八潮３,1,1,0,0,0,1,1,0,0,0,0,1,0
埼玉県南西部・朝霞A,2,1,1,0,1,1,1,0,0,0,0,1,0
埼玉県南西部・志木1A,3,2,1,0,1,3,3,0,0,0,0,0,3
埼玉県南西部・志木2A,1,1,0,0,0,1,1,0,0,0,0,0,1
埼玉県南西部・和光1A,1,1,0,0,0,1,1,0,0,0,1,0,0
埼玉県南西部・和光2A,4,1,3,0,3,2,2,0,0,0,0,2,0
埼玉県南西部・新座A,3,2,1,1,0,2,2,0,0,0,0,1,1
埼玉県南西部・大和田A,2,2,0,0,0,2,2,0,0,0,1,0,1
三郷市・三郷南A,1,1,0,0,0,1,1,0,0,0,1,0,0
