地域,有人直接通報承認対象物数,無人直接通報承認対象物数,即時通報承認対象物数,緊急即時通報承認対象物数,事業所火災直接通報対象物数,救急直接通報登録世帯
平成30年,1133,141,2101,25620,-,1364
令和元年,1149,143,2103,27439,-,1162
令和2年,1111,142,2103,28215,1267,1085
令和3年,-,-,-,-,1283,1011
令和4年,-,-,-,-,1277,863
特別区,-,-,-,-,846,625
千代田区,-,-,-,-,16,15
中央区,-,-,-,-,16,23
港区,-,-,-,-,31,1
品川区,-,-,-,-,33,4
大田区,-,-,-,-,76,5
目黒区,-,-,-,-,16,11
世田谷区,-,-,-,-,74,69
渋谷区,-,-,-,-,16,0
新宿区,-,-,-,-,22,6
中野区,-,-,-,-,29,0
杉並区,-,-,-,-,52,11
文京区,-,-,-,-,17,7
豊島区,-,-,-,-,23,165
北区,-,-,-,-,30,0
板橋区,-,-,-,-,48,0
練馬区,-,-,-,-,60,0
台東区,-,-,-,-,23,20
荒川区,-,-,-,-,20,0
足立区,-,-,-,-,66,6
墨田区,-,-,-,-,39,0
江東区,-,-,-,-,26,282
葛飾区,-,-,-,-,42,0
江戸川区,-,-,-,-,71,0
受託地区,-,-,-,-,431,238
立川市,-,-,-,-,29,22
国立市,-,-,-,-,8,7
武蔵野市,-,-,-,-,18,0
三鷹市,-,-,-,-,26,12
府中市,-,-,-,-,26,8
昭島市,-,-,-,-,15,12
調布市,-,-,-,-,13,0
小金井市,-,-,-,-,8,1
小平市,-,-,-,-,18,2
東村山市,-,-,-,-,7,9
国分寺市,-,-,-,-,16,4
狛江市,-,-,-,-,1,0
東大和市,-,-,-,-,3,1
武蔵村山市,-,-,-,-,4,10
清瀬市,-,-,-,-,11,19
東久留米市,-,-,-,-,10,9
西東京市,-,-,-,-,18,0
八王子市,-,-,-,-,59,0
青梅市,-,-,-,-,17,7
町田市,-,-,-,-,47,1
日野市,-,-,-,-,23,4
福生市,-,-,-,-,2,5
羽村市,-,-,-,-,6,17
瑞穂町,-,-,-,-,4,8
多摩市,-,-,-,-,9,0
あきる野市,-,-,-,-,18,1
日の出町,-,-,-,-,9,12
檜原村,-,-,-,-,0,0
奥多摩町,-,-,-,-,6,67
