出火階,火災件数／計,火災件数／地上階層／4階建,火災件数／地上階層／5階建,火災件数／地上階層／6階建,火災件数／地上階層／7階建,火災件数／地上階層／8階建,火災件数／地上階層／9階建,火災件数／地上階層／10階建,火災件数／地上階層／11階建,火災件数／地上階層／12階建,火災件数／地上階層／13階建,火災件数／地上階層／14階建,火災件数／地上階層／15階建,火災件数／地上階層／16階建,火災件数／地上階層／17階建以上,火災件数／地下階層／地階なし,火災件数／地下階層／地下1階,火災件数／地下階層／地下2階,火災件数／地下階層／地下3階,火災件数／地下階層／地下4階,火災件数／地下階層／地下5階,火災件数／地下階層／地下6階,火災件数／焼損程度／全焼,火災件数／焼損程度／半焼,火災件数／焼損程度／部分焼,火災件数／焼損程度／ぼや,焼損棟数,り災世帯数,り災人員,焼損床面積(m2),損害額(千円),死者,傷者
計,1065,240,228,86,83,61,59,56,91,38,13,88,7,2,13,739,246,55,18,4,2,1,－,－,87,978,1073,638,1713,2738,1757810,9,187
24階,1,－,－,－,－,－,－,－,－,－,－,－,－,－,1,－,1,－,－,－,－,－,－,－,1,－,1,25,64,159,141985,－,6
14階,8,－,－,－,－,－,－,－,－,－,－,8,－,－,－,7,1,－,－,－,－,－,－,－,－,8,8,2,8,－,558,－,3
13階,4,－,－,－,－,－,－,－,－,－,－,3,1,－,－,3,－,－,－,－,1,－,－,－,－,4,4,1,5,－,44,－,1
12階,8,－,－,－,－,－,－,－,－,3,－,3,－,1,1,5,3,－,－,－,－,－,－,－,－,8,8,6,19,－,84,－,2
11階,18,－,－,－,－,－,－,－,7,1,－,6,2,－,2,17,1,－,－,－,－,－,－,－,1,17,18,14,35,15,18117,－,－
10階,12,－,－,－,－,－,－,4,4,1,－,3,－,－,－,9,1,1,1,－,－,－,－,－,1,11,12,7,15,5,2753,－,3
9階,24,－,－,－,－,－,3,5,5,7,1,2,－,－,1,15,7,－,2,－,－,－,－,－,3,21,24,27,76,59,23978,－,1
8階,21,－,－,－,－,3,4,5,3,1,1,3,－,－,1,14,4,2,1,－,－,－,－,－,4,17,21,16,52,113,49920,－,5
7階,41,－,－,－,16,5,2,3,5,－,1,7,1,－,1,25,12,3,－,－,－,1,－,－,2,39,41,30,78,81,23909,－,7
6階,26,－,－,6,6,4,2,4,1,－,－,2,－,－,1,17,7,2,－,－,－,－,－,－,2,24,26,13,37,21,18477,－,4
5階,74,－,40,7,7,5,3,3,4,1,1,2,1,－,－,58,14,1,1,－,－,－,－,－,11,63,75,76,218,321,91247,－,18
4階,101,33,30,6,4,4,6,5,6,3,1,3,－,－,－,70,27,2,2,－,－,－,－,－,12,89,102,70,160,310,115092,4,18
3階,158,55,36,12,9,4,5,6,12,10,－,6,2,－,1,122,28,7,－,－,1,－,－,－,13,145,158,126,349,388,126994,－,30
2階,170,51,45,18,15,8,8,4,7,2,2,9,－,－,1,126,33,10,1,－,－,－,－,－,16,154,170,143,370,547,800914,4,31
1階,334,91,66,32,20,21,15,15,30,7,6,30,－,1,－,251,66,13,2,2,－,－,－,－,18,316,339,82,227,599,284455,1,49
地下1階,55,10,9,5,5,5,8,2,6,2,－,1,－,－,2,－,41,10,3,1,－,－,－,－,3,52,56,－,－,120,58866,－,7
地下2階,7,－,2,－,1,2,2,－,－,－,－,－,－,－,－,－,－,4,3,－,－,－,－,－,－,7,7,－,－,－,412,－,2
地下3階,3,－,－,－,－,－,1,－,1,－,－,－,－,－,1,－,－,－,2,1,－,－,－,－,－,3,3,－,－,－,5,－,－
