政令用途等,火災件数・計,火災件数・全焼,火災件数・半焼,火災件数・部分焼,火災件数・ぼや,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成30年,988,5,23,155,805,1062,5,28,182,847,552,53,62,437,981,4476,915426048,23,206
令和元年,1151,2,26,173,950,1204,3,26,192,983,616,70,61,485,946,3682,1104228700,33,211
令和2年,1002,6,11,145,840,1044,6,12,157,869,500,34,25,441,824,2458,1058451144,16,189
令和3年,1066,4,23,121,918,1117,4,25,134,954,589,64,59,466,972,3672,1041108326,18,205
令和4年,1084,4,11,128,941,1141,4,12,150,975,583,55,56,472,984,2955,1067616773,26,209
政令用途からの出火,839,1,4,105,729,865,1,5,115,744,430,36,33,361,730,1743,813104911,12,172
一項・イ・劇場,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,200,0,0
一項・イ・観覧場,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,33000,0,0
二項・イ・キャバレー,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,120,169890130,0,0
二項・イ・カフェー,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1855100,0,0
二項・イ・ナイトクラブ,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,7850,0,1
二項・イ・その他（２項イ）,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,506900,0,0
二項・ロ・遊技場,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,775300,0,0
二項・ニ・カラオケボックス等,5,0,0,1,4,5,0,0,1,4,0,0,0,0,0,2,2238230,0,1
三項・ロ・飲食店,248,1,0,31,216,259,1,1,36,221,23,1,0,22,47,312,113603860,2,58
四項・百貨店,5,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,2370,0,0
四項・マーケット,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,700,0,0
四項・物品販売店舗,81,0,0,6,75,81,0,0,6,75,4,0,0,4,5,106,71172698,0,4
四項・展示場,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,8973800,0,0
五項・イ・ホテル,38,0,0,0,38,38,0,0,0,38,0,0,0,0,0,0,343650,0,2
五項・イ・宿泊所,1,0,0,1,0,1,0,0,1,0,3,0,0,3,3,0,1968400,0,0
五項・ロ・寄宿舎,5,0,0,2,3,6,0,0,3,3,12,0,0,12,14,27,8173500,0,2
五項・ロ・共同住宅,220,0,3,46,171,233,0,3,50,180,362,35,33,294,598,962,297707108,10,84
六項・イ・(1)・特定病院,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,5070,0,0
六項・イ・(2)・特定診療所,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2966500,0,0
六項・イ・(4)・診療所（患者入院施設を有しないもの）,7,0,0,0,7,7,0,0,0,7,0,0,0,0,0,0,20980,0,1
六項・ロ・(1)・有料老人ホーム（要介護者入居）,2,0,0,0,2,2,0,0,0,2,2,0,0,2,20,0,227784,0,0
六項・ハ・(1)・老人デイサービスセンター,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,700,0,0
六項・ハ・(2)・更生施設,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,10000,0,0
六項・ハ・(3)・保育所,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,217900,0,0
六項・ハ・(3)・児童家庭支援センター,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,5794,0,0
七項・各種学校,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,300,0,0
七項・専修学校,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2100,0,0
八項・美術館,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,800,0,0
九項・イ・熱気浴場,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,800,0,0
九項・ロ・その他（９項イ）,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,178400,0,1
九項・ロ・公衆浴場,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,210000,0,0
十項・停車場,14,0,0,0,14,14,0,0,0,14,0,0,0,0,0,0,1626800,0,0
十一項・教会,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,600,0,0
十二項・イ・工場,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,387500,0,0
十二項・イ・作業場,28,0,0,5,23,28,0,0,5,23,11,0,0,11,27,7,3604466,0,5
十三項・イ・駐車場,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,3000,0,0
十四項・倉庫,5,0,0,1,4,5,0,0,1,4,0,0,0,0,0,5,12959020,0,0
十五項・官公署,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,24800,0,0
十五項・銀行,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,800,0,0
十五項・事務所,82,0,0,8,74,82,0,0,8,74,6,0,0,6,8,130,52581217,0,8
十五項・その他の事業所,54,0,1,2,51,55,0,1,2,52,6,0,0,6,7,71,60816784,0,5
政令用途以外から出火,245,3,7,23,212,276,3,7,35,231,153,19,23,111,254,1212,254511862,14,37
複合用途建物の住宅部分,89,3,7,16,63,118,3,7,27,81,145,19,22,104,242,1175,229589439,14,25
使用中建物の空室部分,2,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,35100,0,0
使用中建物の工事部分,9,0,0,1,8,9,0,0,1,8,1,0,1,0,2,0,674600,0,1
複合用途建物の共用部分,145,0,0,5,140,147,0,0,6,141,7,0,0,7,10,37,24212723,0,11
