政令用途等,火災件数・計,火災件数・全焼,火災件数・半焼,火災件数・部分焼,火災件数・ぼや,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成30年,2609,58,86,423,2042,2883,74,101,511,2197,2151,172,169,1810,4116,18158,5853910274,80,754
令和元年,2811,73,81,434,2223,3147,92,97,553,2405,2289,203,168,1918,4292,18030,7135079558,103,649
令和2年,2598,55,72,383,2088,2911,63,84,486,2278,2184,155,126,1903,4153,15802,5416484736,80,658
令和3年,2720,70,76,316,2258,3082,100,93,435,2454,2321,211,150,1960,4363,15292,3952506761,79,605
令和4年,2778,74,74,366,2264,3145,107,89,498,2451,2463,202,152,2109,4707,21675,5316839864,80,683
政令用途から出火,2244,21,23,293,1907,2394,38,28,347,1981,1661,131,90,1440,2828,13102,3875261107,44,484
一項・イ・観覧場,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,188,0,0
二項・ロ・遊技場,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,33000,0,0
二項・二・カラオケボックス,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3400,0,0
三項・ロ・飲食店,41,0,1,13,27,41,0,1,13,27,2,0,0,2,3,90,37201922,0,13
四項・百貨店,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,2300,0,0
四項・マーケット,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,500,0,0
四項・物品販売店舗,15,0,0,2,13,15,0,0,2,13,0,0,0,0,0,10,14586367,0,2
五項・イ・ホテル,11,0,0,2,9,11,0,0,2,9,0,0,0,0,0,33,13317050,0,8
五項・イ・簡易宿泊所,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,150000,0,4
五項・ロ・寄宿舎,18,0,0,3,15,18,0,0,3,15,16,1,4,11,21,29,4759464,0,7
五項・ロ・共同住宅,775,1,3,125,646,788,1,3,129,655,992,71,27,894,1646,1763,428290108,17,209
六項・イ・(1)・特定病院,8,0,0,0,8,8,0,0,0,8,0,0,0,0,0,0,7950,0,2
六項・イ・(3)・病院（特定病院以外）,6,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,94394601,0,1
六項・ロ・(1)・特別養護老人ホーム,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,310300,0,0
六項・ロ・(1)・有料老人ホーム（要介護者入居）,5,0,0,1,4,5,0,0,1,4,1,0,0,1,1,1,733800,0,1
六項・ロ・(1)・認知症対応型老人共同生活援助,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1100,0,0
六項・ロ・(1)・その他（月５日以上宿泊デイサービス）,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1363150,0,2
六項・ハ・(1)・軽費老人ホーム（要介護者入居以外）,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,100,0,0
六項・ハ・(1)・老人福祉センター,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,39900,0,0
六項・ハ・(1)・有料老人ホーム（要介護者入居以外）,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,282000,0,2
六項・ハ・(1)・その他（６項ハ）,2,0,0,1,1,2,0,0,1,1,0,0,0,0,0,1,900,0,1
六項・ハ・(3)・保育所,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,100,0,0
六項・ハ・(3)・児童養護施設,2,0,0,0,2,2,0,0,0,2,2,0,0,2,38,0,56600,0,0
六項・ハ・(3)・児童自立支援施設,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,722700,0,0
六項・ハ・(5)・福祉ホーム,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,20,0,0
六項・ニ・幼稚園,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,50,0,0
七項・小学校,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,70300,0,0
七項・中学校,5,0,1,2,2,5,0,1,2,2,0,0,0,0,0,1005,53919450,0,0
七項・高等学校,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,214100,0,0
七項・大学,14,0,0,2,12,14,0,0,2,12,0,0,0,0,0,0,670680,0,1
七項・その他の学校,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,400,0,0
七項・専修学校,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1210500,0,0
八項・図書館,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,32800,0,0
八項・博物館,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,100,0,0
九項・イ・その他（９項イ）,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,8000,0,0
