"分類","店舗名","郵便番号","住所","電話番号","URL","緯度","経度"
"ムスリムディッシュの食べられる店","サンバル バリ","105-0012","東京都港区芝大門一丁目7番4号 トーア芝ガーデン1F ","03-6432-4537 ","https://www.halalgourmet.jp/ja/restaurant/653","35.658091","139.753728"
"ムスリムディッシュの食べられる店","レストラン・カラバッシュ","105-0013","東京都港区浜松町二丁目10番1号 浜松町ビルB1","03-3433-0884","info@calabash.co.jp","35.653721","139.756164"
"ムスリムディッシュの食べられる店","イラン・アラブ料理 アラジン","106-0031","東京都港区西麻布三丁目2番6号 六本木安田ビル2Ｆ","03-3401-8851","http://www.persia-aladdin.com/","35.660628","139.72774"
"ムスリムディッシュの食べられる店","ネフェルティティ東京 西麻布店","106-0031","東京都港区西麻布三丁目1番20号 Dear西麻布1階","03-6844-8208","http://www.nefertititokyo.com/japanese/access.html","35.65824","139.724468"
"ムスリムディッシュの食べられる店","炭やき屋","106-0031","東京都港区西麻布三丁目20番16号","03-3403-5397 ","http://www.sumiyakiya.com/jp/access/index.html","35.660267","139.726188"
"ムスリムディッシュの食べられる店","伊勢・すえよし","106-0031","東京都港区西麻布四丁目2番15号 水野ビル3階","03-6427-2314","http://isesueyoshi.blog.fc2.com/","35.658655","139.723502"
"ムスリムディッシュの食べられる店","しゃぶしゃぶ・すし　八山","106-0032","東京都港区六本木六丁目1番20号 電気ビル地下1F","03-3403-8333","http://hassan.createrestaurants.com/jp/outline.html","35.662529","139.731276"
"ムスリムディッシュの食べられる店","インド料理　ディヤ","106-0032","東京都港区六本木六丁目10番1号 六本木ヒルズヒルサイドB1","03-6438-1177","http://www.diya-dining.jp/","35.660464","139.729249"
"ムスリムディッシュの食べられる店","GREEN ASIA","106-0032 ","東京都港区六本木六丁目10番1号 六本木ヒルズヒルサイドB1","03-5786-7795","http://greenasia-tokyo.com/","35.660464","139.729249"
"ムスリムディッシュの食べられる店","サライ（SARAY）赤坂店","107-0052","東京都港区赤坂二丁目13番23号 赤坂ＭＹビルB1F","03-3588-1221","http://saray-akasaka.com//archives/category/category_005","35.672981","139.738105"
"ムスリムディッシュの食べられる店","パセラリゾーツ","160-0021","東京都新宿区歌舞伎町一丁目3番16号","0120-706-733","https://www.pasela.co.jp/shop/shinjuku/","35.694323","139.703808"
"ムスリムディッシュの食べられる店","新宿御苑ラーメン・桜花","160-0022","新宿区新宿一丁目11番7号 第五御苑ビル1F","03-5925-8426","http://www.m-ouka.jp/index.html","35.688036","139.710744"
"ムスリムディッシュの食べられる店","ボスポラスハサン　新宿二丁目店","160-0022","東京都新宿区新宿二丁目7番2号 １Ｆ","03-6380-6412 ","http://www.bosphorushasan.com/menu/index.html","35.689541","139.708346"
"ムスリムディッシュの食べられる店","ケバブ家","160-0022","東京都新宿区新宿三丁目6番7号 第六三和ビル別棟1Ｆ","03-3356-5691","http://kebabye-tokyo.com/","35.691467","139.705856"
"ムスリムフードを取り扱う店","ナショナル麻布","106-0047","東京都港区南麻布四丁目5番2号","03-3442-3181","http://www.national-azabu.com/","35.651207","139.723952"
"ムスリムフードを取り扱う店","NISSIN WORLD DELICATESSEN","106-0044","東京都港区東麻布二丁目34番2号","03-3583-4586","https://www.nissin-world-delicatessen.jp/","35.655679","139.73915"
"ムスリムフードを取り扱う店","有限会社 東源商事 東南アジア食材店　","169-0073","東京都新宿区百人町一丁目19番18号 慈惠ビル1F","03-3368-7870","http://www.toko-indonesia.org/","35.701449","139.696333"
"ムスリムフードを取り扱う店","ROSE FAMILY STORE","169-0073","東京都新宿区百人町二丁目10番8号 新大久保イニシャルハウスアネックスビル2F","03-5338-4391","https://www.facebook.com/Rose-Family-Store-216925105181221/","35.701301","139.700049"
"ムスリムフードを取り扱う店","THE JANNAT HALAL FOOD　","169-0073","東京都新宿区百人町二丁目9番1号 ツインヴィレッジ新宿102","03-3366-6680","http://www.thejannath.com/","35.70217","139.699643"
"ムスリムフードを取り扱う店","BARAHI FOOD & SPICE CENTER　","169-0073 ","東京都新宿区百人町二丁目10番9号","03-3363-1145","http://samudrapari.com/barahifoods/","35.701922","139.699633"
"ムスリムフードを取り扱う店","AL FLAH SUPER MARKET　","171-0014","東京都豊島区池袋二丁目41番2号 大野屋ビル4F","03-3985-9784","http://www.al-flah.com/","35.733226","139.709666"
"ムスリムフードを取り扱う店","FATIMAH STORE","110-0005","東京都台東区上野四丁目1番8号","090-9687-8171","http://brastelpromotion.com/ja/fatimah-store/","35.708324","139.774474"
"ムスリムフードを取り扱う店","株式会社青忠商事　野澤屋　","110-0005","東京都台東区上野四丁目7番8号 アメ横センタービルB1/1F","03-3833-5212","https://www.nozawaya.com/shop.html","35.709627","139.774513"
"ムスリムフードを取り扱う店","SPICY FOOD NET WORK　","101-0021","東京都千代田区外神田一丁目16番10号 ニュー秋葉原センター101","03-3526-6116","http://www.al-hera.jp/","35.697297","139.772696"
"ハラール食品の卸商社","二宮　","150-0031","東京都渋谷区桜丘町18番4号 二宮ビルB1F","03-3461-0214","http://www.ninomiyacorp.co.jp/","35.655839","139.701143"
"ハラール食品の卸商社","ＵＣＣフーズ","105-0004","東京都港区新橋六丁目1番11号","03-5400-5678","http://www.uccfoods.co.jp/","35.662562","139.752707"
"ハラール食品の卸商社","西原商会　東京企画センター","104-0032","東京都中央区八丁堀二丁目19番8号 日宝八丁堀ビル2F","03-5540-8100","http://www.nishihara-shokai.co.jp/","35.675977","139.776111"

"ムスリムフード関連店舗","Ver201806"
